# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.233.141,34.51.143.68,34.51.239.75,34.51.237.100", "-c", "etc", "-r", "100000", "-t", "32", "--cluster", "-o", "acdis_five_nodes"]
thread,cmd,latency,count
0,SET,152,1
0,SET,154,1
0,SET,167,2
0,SET,171,2
0,SET,182,1
0,SET,184,1
0,SET,185,1
0,SET,186,2
0,SET,188,1
0,SET,192,1
0,SET,195,2
0,SET,200,1
0,SET,208,1
0,SET,209,1
0,SET,211,1
0,SET,213,2
0,SET,214,1
0,SET,216,1
0,SET,218,1
0,SET,221,1
0,SET,223,1
0,SET,225,1
0,SET,226,2
0,SET,236,1
0,SET,263,1
0,SET,269,1
0,SET,283,1
0,SET,353,1
0,SET,403,1
0,SET,651,1
0,SET,667,1
0,SET,743,1
0,SET,771,1
0,SET,879,1
0,SET,899,1
0,SET,907,1
0,SET,955,1
0,SET,963,1
0,SET,983,1
0,SET,987,1
0,SET,1071,2
0,SET,1079,1
0,SET,1207,1
0,SET,1255,1
0,SET,1287,2
0,SET,1335,1
0,SET,1343,1
0,SET,1351,1
0,SET,1375,1
0,SET,1383,1
0,SET,1399,1
0,SET,1431,2
0,SET,1439,3
0,SET,1463,2
0,SET,1487,1
0,SET,1495,1
0,SET,1511,1
0,SET,1519,1
0,SET,1535,1
0,SET,1543,2
0,SET,1551,1
0,SET,1559,1
0,SET,1567,1
0,SET,1599,2
0,SET,1631,1
0,SET,1647,1
0,SET,1655,3
0,SET,1671,1
0,SET,1679,1
0,SET,1735,1
0,SET,1831,1
0,SET,1871,1
0,SET,1887,1
0,SET,1911,1
0,SET,1991,1
0,SET,2095,1
0,SET,2175,1
0,SET,2287,1
0,SET,2303,1
0,SET,2335,2
0,SET,2367,1
0,SET,2495,1
0,SET,2511,1
0,SET,2527,1
0,SET,2559,1
0,SET,2655,1
0,SET,2671,1
0,SET,2703,1
0,SET,2767,1
0,SET,2959,1
0,SET,3023,1
0,SET,3071,1
0,SET,3087,1
0,SET,3103,1
0,SET,3151,1
0,SET,3215,1
0,SET,3231,1
0,SET,3263,2
0,SET,3375,1
0,SET,3391,1
0,SET,3471,1
0,SET,3487,1
0,SET,3503,1
0,SET,3567,1
0,SET,3599,3
0,SET,3615,2
0,SET,3631,1
0,SET,3679,1
0,SET,3711,1
0,SET,3775,2
0,SET,3791,1
0,SET,3919,1
0,SET,3935,1
0,SET,3999,2
0,SET,4015,1
0,SET,4079,1
0,SET,4191,1
0,SET,4223,2
0,SET,4255,1
0,SET,4319,3
0,SET,4351,1
0,SET,4511,1
0,SET,4639,1
0,SET,4735,1
0,SET,5087,1
0,SET,5119,1
0,SET,5151,1
0,SET,5183,2
0,SET,5279,1
0,SET,5663,1
0,SET,5695,1
0,SET,5791,1
0,SET,6047,1
0,SET,6079,1
0,SET,6111,1
0,SET,6175,1
0,SET,6303,1
0,SET,6399,1
0,SET,6559,1
0,SET,6687,1
0,SET,7007,2
0,GET,112,1
0,GET,136,1
0,GET,140,1
0,GET,146,1
0,GET,147,1
0,GET,150,1
0,GET,151,2
0,GET,152,2
0,GET,153,1
0,GET,154,1
0,GET,155,2
0,GET,156,2
0,GET,157,1
0,GET,158,2
0,GET,159,1
0,GET,160,3
0,GET,161,2
0,GET,162,2
0,GET,163,4
0,GET,164,5
0,GET,165,4
0,GET,166,3
0,GET,167,3
0,GET,168,7
0,GET,169,1
