# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.233.141,34.51.141.155,34.51.190.70,34.51.237.100,34.51.140.188", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "keydb_five_nodes"]
thread,cmd,latency,count
0,GET,76,2
0,GET,77,8
0,GET,78,7
0,GET,79,18
0,GET,80,37
0,GET,81,53
0,GET,82,85
0,GET,83,133
0,GET,84,176
0,GET,85,276
0,GET,86,359
0,GET,87,478
0,GET,88,594
0,GET,89,716
0,GET,90,940
0,GET,91,1119
0,GET,92,1299
0,GET,93,1504
0,GET,94,1777
0,GET,95,2083
0,GET,96,2404
0,GET,97,2551
0,GET,98,2940
0,GET,99,3288
0,GET,100,3555
0,GET,101,3874
0,GET,102,4091
0,GET,103,4478
0,GET,104,4848
0,GET,105,5054
0,GET,106,5302
0,GET,107,5605
0,GET,108,5894
0,GET,109,6169
0,GET,110,6282
0,GET,111,6691
0,GET,112,6953
0,GET,113,6988
0,GET,114,7369
0,GET,115,7376
0,GET,116,7660
0,GET,117,7839
0,GET,118,7896
0,GET,119,8346
0,GET,120,8319
0,GET,121,8360
0,GET,122,8422
0,GET,123,8555
0,GET,124,8588
0,GET,125,8493
0,GET,126,8368
0,GET,127,7891
0,GET,128,8133
0,GET,129,7978
0,GET,130,7747
0,GET,131,7521
0,GET,132,7610
0,GET,133,7505
0,GET,134,7274
0,GET,135,7079
0,GET,136,6879
0,GET,137,6797
0,GET,138,6726
0,GET,139,6471
0,GET,140,6283
0,GET,141,6140
0,GET,142,5975
0,GET,143,5705
0,GET,144,5498
0,GET,145,5333
0,GET,146,5071
0,GET,147,4884
0,GET,148,4615
0,GET,149,4541
0,GET,150,4233
0,GET,151,4082
0,GET,152,3808
0,GET,153,3675
0,GET,154,3538
0,GET,155,3474
0,GET,156,3218
0,GET,157,3135
0,GET,158,2980
0,GET,159,2909
0,GET,160,2678
0,GET,161,2479
0,GET,162,2399
0,GET,163,2245
0,GET,164,2171
0,GET,165,1990
0,GET,166,1861
0,GET,167,1784
0,GET,168,1636
0,GET,169,1546
0,GET,170,1654
0,GET,171,1420
0,GET,172,1315
0,GET,173,1280
0,GET,174,1207
0,GET,175,1048
0,GET,176,1115
0,GET,177,968
0,GET,178,1005
0,GET,179,942
0,GET,180,870
0,GET,181,821
0,GET,182,739
0,GET,183,730
0,GET,184,647
0,GET,185,619
0,GET,186,550
0,GET,187,526
0,GET,188,499
0,GET,189,461
0,GET,190,442
0,GET,191,426
0,GET,192,417
0,GET,193,359
