# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.206.35,34.51.141.155,34.51.233.141,34.51.177.123", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "redis_five_nodes"]
thread,cmd,latency,count
0,GET,81,1
0,GET,82,1
0,GET,83,3
0,GET,84,3
0,GET,85,6
0,GET,86,16
0,GET,87,19
0,GET,88,38
0,GET,89,36
0,GET,90,49
0,GET,91,90
0,GET,92,109
0,GET,93,158
0,GET,94,216
0,GET,95,287
0,GET,96,379
0,GET,97,460
0,GET,98,568
0,GET,99,694
0,GET,100,853
0,GET,101,1028
0,GET,102,1168
0,GET,103,1398
0,GET,104,1604
0,GET,105,1766
0,GET,106,2075
0,GET,107,2291
0,GET,108,2514
0,GET,109,2766
0,GET,110,3020
0,GET,111,3306
0,GET,112,3680
0,GET,113,3867
0,GET,114,4084
0,GET,115,4454
0,GET,116,4743
0,GET,117,5192
0,GET,118,5435
0,GET,119,5605
0,GET,120,6128
0,GET,121,6398
0,GET,122,6758
0,GET,123,6740
0,GET,124,6884
0,GET,125,7177
0,GET,126,7446
0,GET,127,7503
0,GET,128,7566
0,GET,129,7694
0,GET,130,7932
0,GET,131,7902
0,GET,132,7852
0,GET,133,8053
0,GET,134,8039
0,GET,135,8006
0,GET,136,7907
0,GET,137,7919
0,GET,138,7867
0,GET,139,7969
0,GET,140,7906
0,GET,141,7748
0,GET,142,7586
0,GET,143,7468
0,GET,144,7442
0,GET,145,7146
0,GET,146,7048
0,GET,147,6879
0,GET,148,6737
0,GET,149,6694
0,GET,150,6393
0,GET,151,6126
0,GET,152,6009
0,GET,153,5688
0,GET,154,5653
0,GET,155,5563
0,GET,156,5276
0,GET,157,5028
0,GET,158,4904
0,GET,159,4763
0,GET,160,4447
0,GET,161,4328
0,GET,162,4248
0,GET,163,4128
0,GET,164,3777
0,GET,165,3745
0,GET,166,3599
0,GET,167,3486
0,GET,168,3252
0,GET,169,3021
0,GET,170,3049
0,GET,171,2762
0,GET,172,2627
0,GET,173,2548
0,GET,174,2413
0,GET,175,2300
0,GET,176,2177
0,GET,177,2060
0,GET,178,1946
0,GET,179,1918
0,GET,180,1800
0,GET,181,1637
0,GET,182,1556
0,GET,183,1534
0,GET,184,1432
0,GET,185,1383
0,GET,186,1235
0,GET,187,1194
0,GET,188,1153
0,GET,189,1153
0,GET,190,1015
0,GET,191,966
0,GET,192,887
0,GET,193,872
0,GET,194,841
0,GET,195,775
0,GET,196,717
0,GET,197,648
0,GET,198,646
0,GET,199,622
0,GET,200,582
0,GET,201,510
0,GET,202,583
0,GET,203,465
0,GET,204,448
0,GET,205,455
0,GET,206,425
0,GET,207,369
0,GET,208,348
0,GET,209,345
0,GET,210,313
0,GET,211,303
0,GET,212,282
0,GET,213,271
0,GET,214,251
0,GET,215,227
0,GET,216,243
0,GET,217,224
0,GET,218,233
0,GET,219,195
0,GET,220,178
0,GET,221,176
0,GET,222,137
0,GET,223,136
0,GET,224,128
0,GET,225,143
0,GET,226,125
0,GET,227,129
0,GET,228,122
0,GET,229,118
0,GET,230,117
0,GET,231,101
0,GET,232,91
0,GET,233,85
0,GET,234,93
0,GET,235,74
0,GET,236,81
0,GET,237,63
0,GET,238,91
0,GET,239,37
0,GET,240,78
0,GET,241,64
0,GET,242,46
0,GET,243,45
0,GET,244,43
0,GET,245,41
0,GET,246,49
0,GET,247,50
0,GET,248,34
0,GET,249,42
0,GET,250,32
0,GET,251,36
0,GET,252,34
0,GET,253,33
0,GET,254,36
0,GET,255,26
0,GET,257,64
0,GET,259,58
0,GET,261,47
0,GET,263,63
0,GET,265,52
0,GET,267,47
0,GET,269,29
0,GET,271,35
0,GET,273,40
0,GET,275,24
0,GET,277,33
0,GET,279,30
0,GET,281,25
0,GET,283,30
0,GET,285,21
0,GET,287,27
0,GET,289,26
0,GET,291,22
0,GET,293,23
0,GET,295,23
0,GET,297,16
0,GET,299,17
0,GET,301,21
0,GET,303,13
0,GET,305,20
0,GET,307,20
0,GET,309,20
0,GET,311,21
0,GET,313,12
0,GET,315,17
0,GET,317,6
0,GET,319,15
0,GET,321,4
0,GET,323,13
0,GET,325,6
0,GET,327,7
0,GET,329,22
0,GET,331,10
0,GET,333,13
0,GET,335,7
0,GET,337,6
0,GET,339,10
0,GET,341,8
0,GET,343,13
0,GET,345,8
0,GET,347,7
0,GET,349,7
0,GET,351,8
0,GET,353,7
0,GET,355,2
0,GET,357,7
0,GET,359,7
0,GET,361,2
0,GET,363,5
0,GET,365,6
0,GET,367,6
0,GET,369,2
0,GET,371,3
0,GET,373,1
0,GET,375,1
0,GET,377,4
0,GET,379,6
0,GET,381,2
0,GET,383,3
0,GET,385,3
0,GET,387,8
0,GET,389,1
0,GET,391,6
0,GET,393,1
0,GET,397,9
0,GET,399,4
0,GET,401,4
0,GET,403,3
0,GET,405,2
0,GET,407,5
0,GET,409,4
0,GET,411,2
0,GET,413,7
0,GET,417,3
0,GET,419,3
0,GET,421,2
0,GET,423,3
0,GET,425,5
0,GET,429,2
0,GET,431,3
0,GET,433,1
0,GET,435,1
0,GET,439,3
0,GET,441,1
0,GET,443,1
0,GET,445,3
0,GET,447,3
0,GET,451,2
0,GET,453,1
0,GET,455,3
0,GET,457,1
0,GET,459,1
0,GET,461,2
0,GET,465,1
0,GET,467,2
0,GET,469,3
0,GET,471,3
0,GET,473,5
0,GET,475,2
0,GET,477,1
0,GET,481,2
0,GET,483,2
0,GET,485,1
0,GET,487,3
0,GET,489,3
0,GET,491,1
0,GET,493,1
0,GET,495,1
0,GET,497,1
0,GET,501,5
0,GET,503,4
0,GET,505,1
0,GET,507,3
0,GET,511,3
0,GET,515,2
0,GET,519,4
0,GET,523,1
0,GET,527,4
0,GET,531,3
0,GET,535,3
0,GET,539,7
0,GET,543,3
0,GET,547,2
0,GET,551,2
0,GET,555,2
0,GET,559,1
0,GET,563,1
0,GET,567,5
0,GET,571,1
0,GET,575,1
0,GET,579,2
0,GET,583,1
0,GET,591,1
0,GET,595,4
0,GET,599,2
0,GET,603,1
0,GET,607,1
0,GET,611,1
0,GET,615,1
0,GET,619,1
0,GET,623,3
0,GET,635,1
0,GET,639,1
0,GET,643,1
0,GET,647,2
0,GET,651,2
0,GET,675,1
0,GET,679,2
0,GET,683,2
0,GET,687,2
0,GET,707,1
0,GET,711,1
0,GET,731,2
0,GET,739,1
0,GET,747,1
0,GET,751,1
0,GET,755,1
0,GET,759,1
0,GET,771,1
0,GET,775,1
0,GET,783,2
0,GET,795,1
0,GET,799,1
0,GET,807,1
0,GET,831,1
0,GET,843,1
0,GET,851,1
0,GET,875,1
0,GET,891,1
0,GET,895,1
0,GET,919,1
0,GET,923,1
0,GET,943,1
0,GET,951,1
0,GET,995,1
0,GET,1023,1
0,GET,1111,1
0,GET,1191,1
0,GET,1215,1
0,GET,1231,1
0,GET,1295,1
0,GET,1303,1
0,GET,1311,1
0,GET,1327,1
0,GET,1343,1
0,GET,1359,1
0,GET,1367,1
0,GET,1375,1
0,GET,1431,1
0,GET,1439,1
0,GET,1487,1
0,GET,1527,1
0,GET,1535,1
0,GET,1607,2
0,GET,1615,1
0,GET,1679,1
0,GET,1711,1
0,GET,1759,1
0,GET,1799,1
0,GET,1807,1
0,GET,1871,1
0,GET,1903,1
0,GET,1927,1
0,GET,1935,1
0,GET,1999,1
0,GET,2143,1
0,GET,2191,2
0,GET,2207,1
0,GET,2255,1
0,GET,2319,1
0,GET,2527,1
0,GET,4079,1
0,SET,87,1
0,SET,91,3
0,SET,92,1
0,SET,93,3
0,SET,94,4
0,SET,95,8
0,SET,96,11
0,SET,97,16
0,SET,98,14
0,SET,99,20
0,SET,100,28
0,SET,101,35
0,SET,102,43
0,SET,103,52
0,SET,104,61
0,SET,105,72
0,SET,106,70
0,SET,107,89
0,SET,108,115
0,SET,109,127
0,SET,110,129
0,SET,111,148
0,SET,112,145
0,SET,113,181
0,SET,114,207
0,SET,115,227
0,SET,116,253
0,SET,117,254
0,SET,118,292
0,SET,119,290
0,SET,120,342
0,SET,121,326
0,SET,122,366
0,SET,123,389
0,SET,124,380
0,SET,125,434
0,SET,126,401
0,SET,127,473
0,SET,128,482
0,SET,129,453
0,SET,130,478
0,SET,131,460
0,SET,132,539
0,SET,133,499
0,SET,134,576
0,SET,135,530
0,SET,136,556
0,SET,137,542
0,SET,138,556
0,SET,139,568
0,SET,140,515
0,SET,141,571
0,SET,142,546
0,SET,143,608
0,SET,144,488
0,SET,145,514
0,SET,146,529
0,SET,147,542
0,SET,148,540
0,SET,149,532
0,SET,150,483
0,SET,151,494
0,SET,152,428
0,SET,153,487
0,SET,154,441
0,SET,155,452
0,SET,156,431
0,SET,157,415
0,SET,158,392
0,SET,159,392
0,SET,160,379
0,SET,161,381
0,SET,162,356
0,SET,163,346
0,SET,164,324
0,SET,165,299
0,SET,166,308
0,SET,167,314
0,SET,168,287
0,SET,169,311
0,SET,170,265
0,SET,171,247
0,SET,172,246
0,SET,173,253
0,SET,174,223
0,SET,175,211
0,SET,176,220
0,SET,177,220
0,SET,178,207
0,SET,179,198
0,SET,180,167
0,SET,181,176
0,SET,182,160
0,SET,183,151
0,SET,184,135
0,SET,185,131
0,SET,186,129
0,SET,187,131
0,SET,188,127
0,SET,189,87
0,SET,190,106
0,SET,191,94
0,SET,192,93
0,SET,193,95
0,SET,194,98
0,SET,195,64
0,SET,196,89
0,SET,197,68
0,SET,198,68
0,SET,199,57
0,SET,200,72
0,SET,201,72
0,SET,202,60
0,SET,203,48
0,SET,204,58
0,SET,205,44
0,SET,206,49
0,SET,207,42
0,SET,208,51
0,SET,209,37
0,SET,210,28
0,SET,211,42
0,SET,212,31
0,SET,213,41
0,SET,214,22
0,SET,215,27
0,SET,216,19
0,SET,217,30
0,SET,218,18
0,SET,219,18
0,SET,220,22
0,SET,221,22
0,SET,222,18
0,SET,223,12
0,SET,224,13
0,SET,225,16
0,SET,226,16
0,SET,227,11
0,SET,228,11
0,SET,229,9
0,SET,230,12
0,SET,231,14
0,SET,232,9
0,SET,233,8
0,SET,234,12
0,SET,235,5
0,SET,236,6
0,SET,237,7
0,SET,238,3
0,SET,239,5
0,SET,240,6
0,SET,241,4
0,SET,242,8
0,SET,243,7
0,SET,244,13
0,SET,245,4
0,SET,246,7
0,SET,247,7
0,SET,248,4
0,SET,249,6
0,SET,250,6
0,SET,251,4
0,SET,252,5
0,SET,253,2
0,SET,254,2
0,SET,255,4
0,SET,257,15
0,SET,259,6
0,SET,261,4
0,SET,263,3
0,SET,265,6
0,SET,267,4
0,SET,269,3
0,SET,271,4
0,SET,273,6
0,SET,275,3
0,SET,277,1
0,SET,279,3
0,SET,281,4
0,SET,283,4
0,SET,285,5
0,SET,289,2
0,SET,291,4
0,SET,293,1
0,SET,297,2
0,SET,299,2
0,SET,301,1
0,SET,303,1
0,SET,305,1
0,SET,307,1
0,SET,311,3
0,SET,313,4
0,SET,315,1
0,SET,317,1
0,SET,321,3
0,SET,323,1
0,SET,327,4
0,SET,329,4
0,SET,333,1
0,SET,337,1
0,SET,343,2
0,SET,349,1
0,SET,351,1
0,SET,353,1
0,SET,357,1
0,SET,359,1
0,SET,361,1
0,SET,365,1
0,SET,367,1
0,SET,369,1
0,SET,373,1
0,SET,381,1
0,SET,385,1
0,SET,389,1
0,SET,405,1
0,SET,407,2
