# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.233.141,34.51.168.189,34.51.206.35,34.51.141.155", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "--port", "7000"]
thread,cmd,latency,count
0,DEL,76,4
0,DEL,77,2
0,DEL,78,13
0,DEL,79,7
0,DEL,80,38
0,DEL,81,35
0,DEL,82,52
0,DEL,83,82
0,DEL,84,129
0,DEL,85,160
0,DEL,86,150
0,DEL,87,207
0,DEL,88,286
0,DEL,89,358
0,DEL,90,376
0,DEL,91,439
0,DEL,92,512
0,DEL,93,557
0,DEL,94,695
0,DEL,95,719
0,DEL,96,784
0,DEL,97,835
0,DEL,98,974
0,DEL,99,1073
0,DEL,100,1164
0,DEL,101,1285
0,DEL,102,1340
0,DEL,103,1398
0,DEL,104,1502
0,DEL,105,1504
0,DEL,106,1659
0,DEL,107,1639
0,DEL,108,1719
0,DEL,109,1729
0,DEL,110,1775
0,DEL,111,1903
0,DEL,112,1885
0,DEL,113,2042
0,DEL,114,2122
0,DEL,115,2026
0,DEL,116,2160
0,DEL,117,2231
0,DEL,118,2183
0,DEL,119,2317
0,DEL,120,2323
0,DEL,121,2320
0,DEL,122,2371
0,DEL,123,2456
0,DEL,124,2407
0,DEL,125,2352
0,DEL,126,2325
0,DEL,127,2396
0,DEL,128,2440
0,DEL,129,2374
0,DEL,130,2253
0,DEL,131,2376
0,DEL,132,2389
0,DEL,133,2310
0,DEL,134,2210
0,DEL,135,2202
0,DEL,136,2181
0,DEL,137,2153
0,DEL,138,2227
0,DEL,139,2136
0,DEL,140,2179
0,DEL,141,2013
0,DEL,142,2069
0,DEL,143,2105
0,DEL,144,1953
0,DEL,145,1919
0,DEL,146,1859
0,DEL,147,1807
0,DEL,148,1792
0,DEL,149,1731
0,DEL,150,1645
0,DEL,151,1656
0,DEL,152,1558
0,DEL,153,1529
0,DEL,154,1488
0,DEL,155,1406
0,DEL,156,1388
0,DEL,157,1349
0,DEL,158,1293
0,DEL,159,1318
0,DEL,160,1242
0,DEL,161,1241
0,DEL,162,1193
0,DEL,163,1185
0,DEL,164,1131
0,DEL,165,1076
0,DEL,166,1001
0,DEL,167,964
0,DEL,168,854
0,DEL,169,921
0,DEL,170,871
0,DEL,171,782
0,DEL,172,812
0,DEL,173,716
0,DEL,174,707
0,DEL,175,757
0,DEL,176,627
0,DEL,177,653
0,DEL,178,635
0,DEL,179,668
0,DEL,180,595
0,DEL,181,576
0,DEL,182,510
0,DEL,183,523
0,DEL,184,437
0,DEL,185,512
0,DEL,186,405
0,DEL,187,430
0,DEL,188,415
0,DEL,189,421
0,DEL,190,372
0,DEL,191,339
0,DEL,192,327
0,DEL,193,290
0,DEL,194,325
0,DEL,195,350
0,DEL,196,272
0,DEL,197,287
0,DEL,198,262
0,DEL,199,232
0,DEL,200,243
0,DEL,201,210
0,DEL,202,200
0,DEL,203,188
0,DEL,204,197
0,DEL,205,190
0,DEL,206,164
0,DEL,207,167
0,DEL,208,162
0,DEL,209,140
0,DEL,210,127
0,DEL,211,126
0,DEL,212,116
0,DEL,213,116
0,DEL,214,126
0,DEL,215,107
0,DEL,216,101
0,DEL,217,104
0,DEL,218,99
0,DEL,219,96
0,DEL,220,90
0,DEL,221,72
0,DEL,222,79
0,DEL,223,69
0,DEL,224,66
0,DEL,225,71
0,DEL,226,66
0,DEL,227,59
0,DEL,228,56
0,DEL,229,48
0,DEL,230,46
0,DEL,231,56
0,DEL,232,49
0,DEL,233,34
0,DEL,234,50
0,DEL,235,39
0,DEL,236,43
0,DEL,237,36
0,DEL,238,40
0,DEL,239,37
0,DEL,240,35
0,DEL,241,28
0,DEL,242,39
0,DEL,243,34
0,DEL,244,37
0,DEL,245,27
0,DEL,246,27
0,DEL,247,27
0,DEL,248,33
0,DEL,249,32
0,DEL,250,21
0,DEL,251,20
0,DEL,252,19
0,DEL,253,16
0,DEL,254,24
0,DEL,255,21
0,DEL,257,35
0,DEL,259,33
0,DEL,261,33
0,DEL,263,30
0,DEL,265,34
0,DEL,267,25
0,DEL,269,28
0,DEL,271,22
0,DEL,273,16
0,DEL,275,17
0,DEL,277,29
0,DEL,279,16
0,DEL,281,16
0,DEL,283,16
0,DEL,285,12
0,DEL,287,24
0,DEL,289,16
0,DEL,291,5
0,DEL,293,11
0,DEL,295,10
0,DEL,297,12
0,DEL,299,7
0,DEL,301,9
0,DEL,303,12
0,DEL,305,20
0,DEL,307,7
0,DEL,309,8
0,DEL,311,8
0,DEL,313,6
0,DEL,315,4
0,DEL,317,5
0,DEL,319,9
0,DEL,321,8
0,DEL,323,5
0,DEL,325,7
0,DEL,327,2
0,DEL,329,11
0,DEL,331,4
0,DEL,333,15
0,DEL,335,4
0,DEL,337,5
0,DEL,339,2
0,DEL,341,3
0,DEL,343,4
0,DEL,345,2
0,DEL,347,8
0,DEL,349,2
0,DEL,351,5
0,DEL,353,6
0,DEL,355,2
0,DEL,357,5
0,DEL,359,1
0,DEL,361,5
0,DEL,363,3
0,DEL,365,4
0,DEL,367,3
0,DEL,369,3
0,DEL,371,4
0,DEL,373,3
0,DEL,375,4
0,DEL,377,3
0,DEL,379,3
0,DEL,381,5
0,DEL,383,5
0,DEL,385,2
0,DEL,387,4
0,DEL,389,1
0,DEL,391,1
0,DEL,393,2
0,DEL,395,2
0,DEL,397,4
0,DEL,399,1
0,DEL,401,2
0,DEL,403,2
0,DEL,407,1
0,DEL,409,1
0,DEL,411,1
0,DEL,413,1
0,DEL,415,1
0,DEL,417,1
0,DEL,419,1
0,DEL,421,1
0,DEL,423,3
0,DEL,425,1
0,DEL,427,1
0,DEL,429,1
0,DEL,431,2
0,DEL,435,2
0,DEL,437,1
0,DEL,443,1
0,DEL,445,1
0,DEL,447,2
0,DEL,451,2
0,DEL,455,1
0,DEL,457,3
0,DEL,459,1
0,DEL,461,1
0,DEL,469,1
0,DEL,475,1
0,DEL,477,1
0,DEL,479,2
0,DEL,489,1
0,DEL,495,2
0,DEL,503,1
0,DEL,515,2
0,DEL,519,1
0,DEL,523,2
0,DEL,527,1
0,DEL,531,2
0,DEL,539,1
0,DEL,543,1
0,DEL,555,2
0,DEL,559,1
0,DEL,563,2
0,DEL,567,1
0,DEL,575,1
0,DEL,579,1
0,DEL,587,2
0,DEL,595,2
0,DEL,599,1
0,DEL,603,3
0,DEL,615,1
0,DEL,619,2
0,DEL,627,3
0,DEL,631,2
0,DEL,659,2
0,DEL,671,1
0,DEL,695,1
0,DEL,711,1
0,DEL,719,1
0,DEL,727,1
0,DEL,747,1
0,DEL,759,1
0,DEL,771,1
0,DEL,803,2
0,DEL,831,1
0,DEL,835,2
0,DEL,867,1
0,DEL,895,1
0,DEL,903,1
0,DEL,911,1
0,DEL,951,1
0,DEL,995,1
0,DEL,1015,1
0,DEL,1019,1
0,DEL,1031,1
0,DEL,1087,1
0,DEL,1095,1
0,DEL,1143,1
0,DEL,1151,1
0,DEL,1183,1
0,DEL,1255,1
0,DEL,1287,1
0,DEL,1303,1
0,DEL,1311,1
0,DEL,1319,1
0,DEL,1343,1
0,DEL,1359,2
0,DEL,1375,1
0,DEL,1383,1
0,DEL,1439,1
0,DEL,1471,1
0,DEL,1511,2
0,DEL,1527,1
0,DEL,1559,2
0,DEL,1567,1
0,DEL,1575,3
0,DEL,1591,1
0,DEL,1607,1
0,DEL,1639,1
0,DEL,1751,2
0,DEL,1767,1
0,DEL,1791,1
0,DEL,1879,1
0,DEL,1903,1
0,DEL,1927,1
0,DEL,1951,1
0,DEL,1967,1
0,DEL,1983,1
0,DEL,1999,2
0,DEL,2015,1
0,DEL,2023,1
0,DEL,2031,1
0,DEL,2079,2
0,DEL,2111,2
0,DEL,2127,1
0,DEL,2143,2
0,DEL,2159,2
0,DEL,2175,2
0,DEL,2207,1
0,DEL,2239,4
0,DEL,2255,1
0,DEL,2303,1
0,DEL,2319,4
0,DEL,2351,1
0,DEL,2383,1
0,DEL,2415,4
0,DEL,2463,4
0,DEL,2495,2
0,DEL,2543,1
