# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.237.100,34.51.140.188,34.51.177.123,34.51.206.35,34.51.190.70", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "valkey_five_nodes"]
thread,cmd,latency,count
0,SET,79,2
0,SET,80,3
0,SET,81,2
0,SET,82,5
0,SET,83,6
0,SET,84,6
0,SET,85,11
0,SET,86,20
0,SET,87,26
0,SET,88,29
0,SET,89,39
0,SET,90,58
0,SET,91,52
0,SET,92,65
0,SET,93,86
0,SET,94,84
0,SET,95,106
0,SET,96,142
0,SET,97,154
0,SET,98,143
0,SET,99,193
0,SET,100,205
0,SET,101,196
0,SET,102,241
0,SET,103,249
0,SET,104,265
0,SET,105,285
0,SET,106,276
0,SET,107,313
0,SET,108,345
0,SET,109,326
0,SET,110,375
0,SET,111,370
0,SET,112,397
0,SET,113,413
0,SET,114,370
0,SET,115,398
0,SET,116,431
0,SET,117,419
0,SET,118,432
0,SET,119,487
0,SET,120,492
0,SET,121,456
0,SET,122,456
0,SET,123,463
0,SET,124,513
0,SET,125,456
0,SET,126,495
0,SET,127,478
0,SET,128,483
0,SET,129,542
0,SET,130,490
0,SET,131,450
0,SET,132,502
0,SET,133,505
0,SET,134,456
0,SET,135,468
0,SET,136,466
0,SET,137,467
0,SET,138,458
0,SET,139,438
0,SET,140,461
0,SET,141,409
0,SET,142,510
0,SET,143,417
0,SET,144,423
0,SET,145,402
0,SET,146,412
0,SET,147,390
0,SET,148,363
0,SET,149,395
0,SET,150,331
0,SET,151,349
0,SET,152,326
0,SET,153,360
0,SET,154,302
0,SET,155,345
0,SET,156,302
0,SET,157,335
0,SET,158,280
0,SET,159,304
0,SET,160,254
0,SET,161,288
0,SET,162,256
0,SET,163,253
0,SET,164,232
0,SET,165,235
0,SET,166,197
0,SET,167,195
0,SET,168,173
0,SET,169,182
0,SET,170,173
0,SET,171,177
0,SET,172,151
0,SET,173,162
0,SET,174,141
0,SET,175,144
0,SET,176,135
0,SET,177,127
0,SET,178,146
0,SET,179,133
0,SET,180,110
0,SET,181,108
0,SET,182,103
0,SET,183,122
0,SET,184,103
0,SET,185,87
0,SET,186,89
0,SET,187,76
0,SET,188,89
0,SET,189,75
0,SET,190,83
0,SET,191,53
0,SET,192,61
0,SET,193,80
0,SET,194,47
0,SET,195,74
0,SET,196,54
0,SET,197,50
0,SET,198,44
0,SET,199,46
0,SET,200,40
0,SET,201,47
0,SET,202,33
0,SET,203,35
0,SET,204,35
0,SET,205,31
0,SET,206,24
0,SET,207,33
0,SET,208,28
0,SET,209,28
0,SET,210,27
0,SET,211,30
0,SET,212,31
0,SET,213,16
0,SET,214,26
0,SET,215,18
0,SET,216,31
0,SET,217,18
0,SET,218,21
0,SET,219,13
0,SET,220,16
0,SET,221,17
0,SET,222,17
0,SET,223,17
0,SET,224,21
0,SET,225,15
0,SET,226,17
0,SET,227,11
0,SET,228,14
0,SET,229,7
0,SET,230,12
0,SET,231,12
0,SET,232,15
0,SET,233,10
0,SET,234,8
0,SET,235,11
0,SET,236,3
0,SET,237,7
0,SET,238,7
0,SET,239,5
0,SET,240,9
0,SET,241,7
0,SET,242,5
0,SET,243,9
0,SET,244,6
0,SET,245,4
0,SET,246,4
0,SET,247,5
0,SET,248,3
0,SET,249,3
0,SET,250,2
0,SET,251,4
0,SET,252,3
0,SET,253,4
0,SET,255,5
0,SET,257,4
0,SET,259,10
0,SET,261,9
0,SET,263,3
0,SET,265,4
0,SET,267,5
0,SET,269,5
0,SET,271,4
0,SET,273,7
0,SET,275,1
0,SET,277,4
0,SET,279,3
0,SET,281,5
0,SET,283,3
0,SET,285,5
0,SET,287,3
0,SET,289,1
0,SET,291,3
0,SET,293,2
0,SET,295,2
0,SET,297,2
0,SET,299,4
0,SET,301,1
0,SET,307,2
0,SET,309,2
0,SET,311,2
0,SET,313,1
0,SET,315,3
0,SET,317,1
0,SET,319,1
0,SET,321,2
0,SET,323,1
0,SET,327,1
0,SET,331,3
0,SET,333,1
0,SET,339,1
0,SET,341,2
0,SET,343,2
0,SET,345,1
0,SET,347,2
0,SET,369,2
0,SET,371,1
0,SET,375,1
0,SET,377,1
0,SET,379,1
0,SET,383,2
0,SET,389,1
0,SET,399,1
0,SET,403,1
0,SET,441,1
0,SET,447,1
0,SET,453,1
0,SET,455,1
0,SET,497,1
0,SET,519,1
0,SET,535,1
0,SET,551,1
0,SET,555,1
0,SET,611,1
0,SET,771,1
0,SET,831,1
0,SET,863,1
0,SET,895,1
0,SET,987,1
0,SET,1167,1
0,SET,1191,1
0,SET,1559,2
0,SET,1575,1
0,SET,1583,1
0,SET,1615,1
0,SET,1903,1
0,SET,1983,1
0,SET,2063,1
0,SET,2095,1
0,SET,2111,1
0,SET,2239,1
0,SET,2335,1
0,SET,2383,1
0,SET,2447,1
0,SET,3727,1
0,SET,4447,1
0,GET,71,1
0,GET,72,2
0,GET,73,1
0,GET,74,5
0,GET,75,10
0,GET,76,18
0,GET,77,16
0,GET,78,53
0,GET,79,71
0,GET,80,122
0,GET,81,179
0,GET,82,227
0,GET,83,293
0,GET,84,419
0,GET,85,481
0,GET,86,661
0,GET,87,760
0,GET,88,949
0,GET,89,1144
0,GET,90,1265
0,GET,91,1567
0,GET,92,1759
0,GET,93,2011
0,GET,94,2233
0,GET,95,2467
0,GET,96,2618
0,GET,97,2933
0,GET,98,3433
0,GET,99,3710
0,GET,100,3907
0,GET,101,4127
0,GET,102,4336
0,GET,103,4747
0,GET,104,4938
0,GET,105,5082
0,GET,106,5372
0,GET,107,5513
0,GET,108,5758
0,GET,109,5806
0,GET,110,5916
0,GET,111,6113
0,GET,112,6297
0,GET,113,6349
0,GET,114,6347
0,GET,115,6742
0,GET,116,6844
0,GET,117,6950
0,GET,118,7049
0,GET,119,7133
0,GET,120,7284
0,GET,121,7232
0,GET,122,7405
0,GET,123,7208
0,GET,124,7399
0,GET,125,7175
0,GET,126,7147
0,GET,127,7113
0,GET,128,7097
0,GET,129,6806
0,GET,130,6856
0,GET,131,6695
0,GET,132,6747
0,GET,133,6474
0,GET,134,6394
0,GET,135,6377
0,GET,136,6185
0,GET,137,6047
0,GET,138,6010
0,GET,139,5941
0,GET,140,5751
0,GET,141,5804
0,GET,142,5679
0,GET,143,5466
0,GET,144,5332
0,GET,145,5245
0,GET,146,5012
0,GET,147,4899
0,GET,148,4761
0,GET,149,4490
0,GET,150,4424
0,GET,151,4164
0,GET,152,4042
0,GET,153,3848
0,GET,154,3785
0,GET,155,3526
0,GET,156,3470
0,GET,157,3358
0,GET,158,3299
0,GET,159,3172
0,GET,160,3025
0,GET,161,2936
0,GET,162,2822
0,GET,163,2656
0,GET,164,2584
0,GET,165,2443
0,GET,166,2349
0,GET,167,2269
0,GET,168,2226
0,GET,169,2078
0,GET,170,1961
0,GET,171,1887
0,GET,172,1878
0,GET,173,1730
0,GET,174,1615
0,GET,175,1573
0,GET,176,1413
0,GET,177,1374
0,GET,178,1324
0,GET,179,1366
0,GET,180,1274
0,GET,181,1143
0,GET,182,1160
0,GET,183,1057
0,GET,184,1025
0,GET,185,945
0,GET,186,913
0,GET,187,891
0,GET,188,867
0,GET,189,808
0,GET,190,738
0,GET,191,688
0,GET,192,582
0,GET,193,631
0,GET,194,645
0,GET,195,607
0,GET,196,548
0,GET,197,541
0,GET,198,469
0,GET,199,516
0,GET,200,450
0,GET,201,407
0,GET,202,382
0,GET,203,400
0,GET,204,335
0,GET,205,378
0,GET,206,344
0,GET,207,325
0,GET,208,264
0,GET,209,281
0,GET,210,281
0,GET,211,251
0,GET,212,242
0,GET,213,231
0,GET,214,225
0,GET,215,197
0,GET,216,207
0,GET,217,181
0,GET,218,173
0,GET,219,170
0,GET,220,145
0,GET,221,136
0,GET,222,137
0,GET,223,156
0,GET,224,135
0,GET,225,140
0,GET,226,142
0,GET,227,114
0,GET,228,125
0,GET,229,100
0,GET,230,96
0,GET,231,97
0,GET,232,87
0,GET,233,69
0,GET,234,78
0,GET,235,91
0,GET,236,78
0,GET,237,76
0,GET,238,70
0,GET,239,58
0,GET,240,65
0,GET,241,69
0,GET,242,58
0,GET,243,54
0,GET,244,51
0,GET,245,48
0,GET,246,55
0,GET,247,42
0,GET,248,41
0,GET,249,40
0,GET,250,37
0,GET,251,35
0,GET,252,30
0,GET,253,40
0,GET,254,31
0,GET,255,44
0,GET,257,73
0,GET,259,66
0,GET,261,51
0,GET,263,48
0,GET,265,51
0,GET,267,56
0,GET,269,39
0,GET,271,39
0,GET,273,39
0,GET,275,38
0,GET,277,37
0,GET,279,25
0,GET,281,33
0,GET,283,26
0,GET,285,31
0,GET,287,24
0,GET,289,22
0,GET,291,27
0,GET,293,26
0,GET,295,26
0,GET,297,25
0,GET,299,18
0,GET,301,23
0,GET,303,14
0,GET,305,20
0,GET,307,8
0,GET,309,21
0,GET,311,17
0,GET,313,16
0,GET,315,13
0,GET,317,16
0,GET,319,12
0,GET,321,20
0,GET,323,8
0,GET,325,11
0,GET,327,10
0,GET,329,8
0,GET,331,9
0,GET,333,2
0,GET,335,3
0,GET,337,7
0,GET,339,13
0,GET,341,14
0,GET,343,4
0,GET,345,12
0,GET,347,5
0,GET,349,7
0,GET,351,6
0,GET,353,6
0,GET,355,4
0,GET,357,5
0,GET,359,3
0,GET,361,5
0,GET,363,6
0,GET,365,6
0,GET,367,6
0,GET,369,8
0,GET,371,1
0,GET,373,3
0,GET,375,4
0,GET,377,9
0,GET,379,6
0,GET,381,2
0,GET,383,2
0,GET,385,3
0,GET,387,6
0,GET,389,2
0,GET,391,4
0,GET,393,6
0,GET,395,5
0,GET,397,5
0,GET,399,1
0,GET,401,1
0,GET,403,4
0,GET,405,3
0,GET,407,3
0,GET,409,5
0,GET,411,4
0,GET,413,1
0,GET,415,3
0,GET,417,4
0,GET,419,3
0,GET,421,2
0,GET,423,1
0,GET,425,1
0,GET,427,1
0,GET,429,2
0,GET,431,3
0,GET,433,3
0,GET,435,2
0,GET,439,2
0,GET,441,4
0,GET,443,3
0,GET,445,2
0,GET,447,1
0,GET,449,1
0,GET,451,2
0,GET,453,2
0,GET,455,1
0,GET,457,1
0,GET,459,4
0,GET,461,2
0,GET,463,1
0,GET,465,3
0,GET,467,1
0,GET,471,3
0,GET,473,2
0,GET,475,1
0,GET,479,1
0,GET,481,4
0,GET,483,1
0,GET,485,1
0,GET,487,2
0,GET,489,1
0,GET,495,2
0,GET,497,1
0,GET,499,1
0,GET,501,1
0,GET,503,1
0,GET,507,1
0,GET,509,1
0,GET,511,1
0,GET,515,4
0,GET,519,4
0,GET,523,2
0,GET,531,3
0,GET,535,2
0,GET,539,5
0,GET,543,4
0,GET,547,4
0,GET,551,3
0,GET,555,3
0,GET,559,2
0,GET,563,6
0,GET,567,4
0,GET,571,2
0,GET,575,3
0,GET,579,5
0,GET,583,3
0,GET,587,4
0,GET,591,2
0,GET,595,1
0,GET,599,2
0,GET,603,4
0,GET,607,1
0,GET,611,4
0,GET,615,3
0,GET,623,2
0,GET,627,1
0,GET,631,3
0,GET,635,5
0,GET,639,3
0,GET,643,1
0,GET,651,1
0,GET,659,2
0,GET,667,1
0,GET,671,2
0,GET,679,2
0,GET,683,3
0,GET,687,2
0,GET,707,3
0,GET,711,1
0,GET,715,1
0,GET,719,3
0,GET,727,1
0,GET,731,2
0,GET,739,2
0,GET,755,1
0,GET,759,2
0,GET,763,1
0,GET,783,1
0,GET,799,2
0,GET,803,1
0,GET,807,1
0,GET,811,2
0,GET,835,1
0,GET,851,1
0,GET,855,1
0,GET,867,1
0,GET,883,1
0,GET,903,1
0,GET,911,1
0,GET,931,1
0,GET,935,2
0,GET,1007,1
0,GET,1011,1
0,GET,1015,1
0,GET,1019,1
0,GET,1023,1
0,GET,1031,2
0,GET,1039,1
0,GET,1055,2
0,GET,1063,1
0,GET,1071,1
0,GET,1087,2
0,GET,1103,1
0,GET,1127,2
0,GET,1159,1
0,GET,1167,3
0,GET,1175,1
0,GET,1183,1
0,GET,1191,1
0,GET,1199,4
0,GET,1215,2
0,GET,1263,1
0,GET,1271,1
0,GET,1303,3
0,GET,1327,1
0,GET,1335,1
0,GET,1343,1
0,GET,1359,2
0,GET,1375,2
0,GET,1391,2
0,GET,1399,3
0,GET,1407,1
0,GET,1415,3
0,GET,1431,2
0,GET,1447,2
0,GET,1463,3
0,GET,1479,1
0,GET,1487,3
0,GET,1511,1
0,GET,1527,3
0,GET,1535,1
0,GET,1543,1
0,GET,1551,1
0,GET,1567,2
0,GET,1583,3
0,GET,1599,1
0,GET,1615,3
0,GET,1631,1
0,GET,1647,1
0,GET,1671,1
0,GET,1687,1
0,GET,1711,3
0,GET,1719,2
0,GET,1727,1
0,GET,1783,1
0,GET,1791,1
0,GET,1799,2
0,GET,1807,1
0,GET,1815,1
0,GET,1823,1
0,GET,1831,1
0,GET,1839,1
0,GET,1855,1
0,GET,1863,1
0,GET,1871,2
0,GET,1879,1
0,GET,1895,1
0,GET,1911,3
0,GET,1927,2
0,GET,1935,1
0,GET,1943,1
0,GET,1959,2
0,GET,1967,1
0,GET,1975,1
0,GET,1983,3
0,GET,1991,1
0,GET,1999,2
0,GET,2007,2
0,GET,2015,2
0,GET,2023,4
0,GET,2031,3
0,GET,2039,1
0,GET,2063,4
0,GET,2079,5
0,GET,2095,3
0,GET,2111,6
0,GET,2127,3
0,GET,2143,4
0,GET,2159,4
0,GET,2175,6
0,GET,2191,4
0,GET,2207,4
0,GET,2223,2
0,GET,2239,1
0,GET,2255,4
0,GET,2271,1
0,GET,2287,3
0,GET,2303,2
0,GET,2319,8
0,GET,2335,3
0,GET,2351,5
0,GET,2367,1
0,GET,2383,2
0,GET,2399,3
0,GET,2415,2
0,GET,2431,5
0,GET,2447,2
0,GET,2463,2
0,GET,2495,1
0,GET,2527,1
0,GET,2559,1
0,GET,2703,1
0,GET,2863,1
0,GET,2895,1
0,GET,2943,1
0,GET,3535,1
0,GET,3919,1
0,GET,4095,1
0,GET,4159,1
0,GET,4415,1
0,GET,4479,1
0,DEL,75,3
0,DEL,76,1
0,DEL,77,6
0,DEL,78,21
0,DEL,79,28
0,DEL,80,26
0,DEL,81,43
0,DEL,82,57
0,DEL,83,90
0,DEL,84,123
0,DEL,85,163
0,DEL,86,203
0,DEL,87,246
0,DEL,88,333
0,DEL,89,357
0,DEL,90,466
0,DEL,91,519
0,DEL,92,548
0,DEL,93,632
0,DEL,94,754
0,DEL,95,814
0,DEL,96,886
0,DEL,97,981
0,DEL,98,1075
0,DEL,99,1241
0,DEL,100,1310
0,DEL,101,1414
0,DEL,102,1472
0,DEL,103,1611
0,DEL,104,1752
0,DEL,105,1766
0,DEL,106,1825
0,DEL,107,1951
0,DEL,108,1905
0,DEL,109,2027
0,DEL,110,2104
0,DEL,111,2184
0,DEL,112,2114
0,DEL,113,2209
0,DEL,114,2275
0,DEL,115,2322
0,DEL,116,2405
0,DEL,117,2433
0,DEL,118,2442
0,DEL,119,2461
0,DEL,120,2601
0,DEL,121,2568
0,DEL,122,2695
0,DEL,123,2684
0,DEL,124,2648
0,DEL,125,2531
0,DEL,126,2586
0,DEL,127,2590
0,DEL,128,2504
0,DEL,129,2428
0,DEL,130,2391
0,DEL,131,2378
0,DEL,132,2395
0,DEL,133,2354
0,DEL,134,2358
0,DEL,135,2224
0,DEL,136,2295
0,DEL,137,2232
0,DEL,138,2231
0,DEL,139,2119
0,DEL,140,2156
0,DEL,141,2073
0,DEL,142,2040
0,DEL,143,1964
0,DEL,144,1845
0,DEL,145,1899
0,DEL,146,1841
0,DEL,147,1754
0,DEL,148,1707
0,DEL,149,1662
0,DEL,150,1594
0,DEL,151,1567
0,DEL,152,1396
0,DEL,153,1406
0,DEL,154,1407
0,DEL,155,1321
0,DEL,156,1270
0,DEL,157,1244
0,DEL,158,1231
0,DEL,159,1135
0,DEL,160,1117
0,DEL,161,1009
0,DEL,162,1085
0,DEL,163,951
0,DEL,164,949
0,DEL,165,924
0,DEL,166,897
0,DEL,167,843
0,DEL,168,809
0,DEL,169,763
0,DEL,170,752
0,DEL,171,723
0,DEL,172,657
