# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.233.141,34.51.143.68,34.51.239.75", "-c", "etc", "-r", "100000", "-t", "32", "--cluster", "-o", "acdis_four_nodes"]
thread,cmd,latency,count
0,SET,166,1
0,SET,176,1
0,SET,181,1
0,SET,182,1
0,SET,188,2
0,SET,190,1
0,SET,193,1
0,SET,207,2
0,SET,210,1
0,SET,212,2
0,SET,216,1
0,SET,218,1
0,SET,230,1
0,SET,232,1
0,SET,287,1
0,SET,309,1
0,SET,379,1
0,SET,431,1
0,SET,457,1
0,SET,511,1
0,SET,515,1
0,SET,539,1
0,SET,547,1
0,SET,587,1
0,SET,623,1
0,SET,635,1
0,SET,643,1
0,SET,659,1
0,SET,679,1
0,SET,711,1
0,SET,723,1
0,SET,763,3
0,SET,855,1
0,SET,943,1
0,SET,963,1
0,SET,983,1
0,SET,1039,1
0,SET,1095,2
0,SET,1111,2
0,SET,1199,1
0,SET,1207,1
0,SET,1263,1
0,SET,1271,1
0,SET,1287,1
0,SET,1391,1
0,SET,1431,1
0,SET,1495,1
0,SET,1511,1
0,SET,1527,1
0,SET,1543,1
0,SET,1623,1
0,SET,1639,1
0,SET,1647,1
0,SET,1711,1
0,SET,1807,1
0,SET,1815,1
0,SET,1887,1
0,SET,1927,1
0,SET,1935,1
0,SET,2015,1
0,SET,2023,1
0,SET,2031,1
0,SET,2039,1
0,SET,2063,1
0,SET,2079,1
0,SET,2095,1
0,SET,2143,3
0,SET,2159,1
0,SET,2223,1
0,SET,2319,1
0,SET,2399,1
0,SET,2479,1
0,SET,2575,1
0,SET,2639,1
0,SET,2687,1
0,SET,2735,1
0,SET,2767,2
0,SET,2783,2
0,SET,2831,1
0,SET,2847,1
0,SET,2879,1
0,SET,2895,1
0,SET,2991,1
0,SET,3007,1
0,SET,3023,1
0,SET,3071,1
0,SET,3151,1
0,SET,3167,1
0,SET,3215,2
0,SET,3231,1
0,SET,3343,1
0,SET,3391,1
0,SET,3439,1
0,SET,3471,2
0,SET,3503,1
0,SET,3551,2
0,SET,3631,2
0,SET,3647,1
0,SET,3679,1
0,SET,3775,1
0,SET,3839,1
0,SET,3855,1
0,SET,3935,1
0,SET,3967,1
0,SET,3983,1
0,SET,4031,1
0,SET,4159,1
0,SET,4191,1
0,SET,4255,1
0,SET,4447,1
0,SET,4543,2
0,SET,4735,1
0,SET,4767,1
0,SET,4831,1
0,SET,5375,1
0,SET,5439,1
0,SET,5503,1
0,SET,5535,1
0,SET,6815,1
0,SET,6847,1
0,SET,7167,1
0,SET,7359,1
0,SET,7487,1
0,SET,7743,1
0,SET,10431,1
0,GET,144,1
0,GET,145,2
0,GET,146,1
0,GET,149,1
0,GET,151,1
0,GET,155,1
0,GET,156,1
0,GET,157,1
0,GET,159,1
0,GET,160,3
0,GET,161,1
0,GET,162,2
0,GET,164,2
0,GET,165,4
0,GET,166,3
0,GET,167,5
0,GET,169,1
0,GET,170,3
0,GET,171,4
0,GET,173,3
0,GET,174,2
0,GET,175,5
0,GET,176,8
0,GET,177,1
0,GET,178,4
0,GET,179,3
0,GET,180,2
0,GET,181,2
0,GET,182,3
0,GET,183,1
0,GET,184,4
0,GET,185,3
0,GET,186,4
0,GET,187,2
0,GET,188,4
0,GET,189,4
0,GET,190,3
0,GET,191,5
0,GET,192,3
0,GET,193,4
0,GET,194,3
0,GET,196,8
0,GET,197,1
0,GET,198,1
0,GET,199,1
0,GET,200,6
0,GET,201,5
0,GET,202,4
0,GET,203,4
0,GET,205,3
0,GET,206,4
0,GET,207,6
0,GET,208,3
0,GET,209,1
0,GET,210,1
0,GET,211,2
0,GET,212,2
0,GET,213,1
0,GET,214,3
0,GET,215,2
0,GET,216,6
0,GET,217,1
0,GET,218,2
0,GET,219,4
0,GET,221,2
0,GET,223,2
0,GET,224,2
0,GET,225,1
0,GET,226,3
0,GET,227,1
0,GET,228,1
0,GET,229,2
0,GET,230,3
0,GET,231,2
0,GET,232,1
0,GET,233,3
0,GET,234,2
0,GET,237,3
0,GET,238,1
0,GET,240,1
0,GET,242,2
0,GET,243,1
0,GET,249,1
0,GET,252,4
0,GET,253,1
0,GET,255,2
0,GET,257,3
0,GET,259,3
0,GET,261,1
0,GET,265,3
0,GET,267,1
0,GET,269,1
0,GET,271,2
0,GET,275,1
0,GET,277,1
0,GET,279,3
0,GET,281,2
0,GET,283,1
0,GET,287,2
0,GET,291,1
0,GET,293,1
0,GET,295,4
0,GET,297,1
0,GET,299,2
0,GET,301,4
0,GET,303,1
0,GET,307,1
0,GET,309,3
0,GET,311,1
0,GET,315,2
0,GET,323,2
0,GET,325,2
0,GET,329,1
0,GET,333,1
0,GET,335,1
0,GET,337,1
0,GET,339,1
0,GET,341,1
0,GET,343,1
0,GET,345,1
0,GET,351,1
0,GET,355,1
0,GET,363,1
0,GET,365,1
0,GET,375,1
0,GET,395,1
0,GET,399,1
0,GET,401,1
0,GET,407,1
0,GET,415,1
0,GET,417,1
0,GET,419,1
0,GET,427,1
0,GET,429,3
0,GET,431,2
0,GET,439,2
0,GET,441,2
0,GET,443,1
0,GET,445,1
0,GET,451,1
0,GET,453,1
0,GET,457,1
0,GET,461,1
0,GET,463,1
0,GET,471,2
0,GET,473,1
0,GET,481,1
0,GET,483,1
0,GET,489,1
0,GET,497,1
0,GET,499,2
0,GET,501,1
0,GET,503,2
0,GET,511,1
0,GET,515,5
0,GET,519,2
0,GET,523,1
0,GET,527,3
0,GET,531,3
0,GET,535,2
0,GET,539,1
0,GET,543,1
0,GET,547,2
0,GET,551,2
0,GET,563,2
0,GET,567,4
0,GET,571,2
0,GET,575,3
0,GET,579,1
0,GET,583,2
0,GET,587,3
0,GET,591,1
0,GET,595,4
0,GET,599,4
0,GET,603,2
0,GET,607,3
0,GET,611,1
0,GET,619,2
0,GET,623,6
0,GET,635,1
0,GET,639,5
0,GET,643,1
0,GET,647,2
0,GET,655,1
0,GET,659,2
0,GET,663,4
0,GET,667,2
0,GET,679,1
0,GET,683,2
