# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.239.75,34.51.237.100,34.51.143.68", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "acdis_four_nodes"]
thread,cmd,latency,count
0,GET,77,1
0,GET,78,2
0,GET,79,6
0,GET,80,6
0,GET,81,23
0,GET,82,24
0,GET,83,48
0,GET,84,77
0,GET,85,124
0,GET,86,143
0,GET,87,202
0,GET,88,278
0,GET,89,357
0,GET,90,384
0,GET,91,567
0,GET,92,710
0,GET,93,826
0,GET,94,909
0,GET,95,1163
0,GET,96,1255
0,GET,97,1470
0,GET,98,1750
0,GET,99,1883
0,GET,100,2192
0,GET,101,2334
0,GET,102,2662
0,GET,103,2796
0,GET,104,3098
0,GET,105,3413
0,GET,106,3648
0,GET,107,3745
0,GET,108,4098
0,GET,109,4454
0,GET,110,4509
0,GET,111,4820
0,GET,112,5085
0,GET,113,5350
0,GET,114,5684
0,GET,115,5833
0,GET,116,6120
0,GET,117,6363
0,GET,118,6743
0,GET,119,6944
0,GET,120,7012
0,GET,121,7325
0,GET,122,7447
0,GET,123,7515
0,GET,124,7785
0,GET,125,7753
0,GET,126,7890
0,GET,127,7911
0,GET,128,7809
0,GET,129,7857
0,GET,130,7866
0,GET,131,7790
0,GET,132,7822
0,GET,133,7729
0,GET,134,7709
0,GET,135,7484
0,GET,136,7586
0,GET,137,7471
0,GET,138,7318
0,GET,139,7205
0,GET,140,7192
0,GET,141,7182
0,GET,142,6916
0,GET,143,6787
0,GET,144,6467
0,GET,145,6360
0,GET,146,6193
0,GET,147,5985
0,GET,148,5940
0,GET,149,5826
0,GET,150,5570
0,GET,151,5196
0,GET,152,4931
0,GET,153,4892
0,GET,154,4807
0,GET,155,4418
0,GET,156,4288
0,GET,157,4138
0,GET,158,3977
0,GET,159,3819
0,GET,160,3643
0,GET,161,3441
0,GET,162,3401
0,GET,163,3294
0,GET,164,3029
0,GET,165,2968
0,GET,166,2710
0,GET,167,2706
0,GET,168,2409
0,GET,169,2328
0,GET,170,2244
0,GET,171,2136
0,GET,172,1994
0,GET,173,1851
0,GET,174,1769
0,GET,175,1800
0,GET,176,1614
0,GET,177,1527
0,GET,178,1455
0,GET,179,1365
0,GET,180,1347
0,GET,181,1233
0,GET,182,1179
0,GET,183,1116
0,GET,184,1015
0,GET,185,956
0,GET,186,923
0,GET,187,870
0,GET,188,846
0,GET,189,818
0,GET,190,737
0,GET,191,666
0,GET,192,614
0,GET,193,649
0,GET,194,587
0,GET,195,564
0,GET,196,545
0,GET,197,522
0,GET,198,429
0,GET,199,463
0,GET,200,394
0,GET,201,391
0,GET,202,345
0,GET,203,313
0,GET,204,287
0,GET,205,258
0,GET,206,280
0,GET,207,310
0,GET,208,234
0,GET,209,218
0,GET,210,225
0,GET,211,231
0,GET,212,185
0,GET,213,170
0,GET,214,182
0,GET,215,145
0,GET,216,150
0,GET,217,148
0,GET,218,149
0,GET,219,150
