# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.239.75,34.51.206.35,34.51.237.100,34.51.168.189", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "--port", "7000"]
thread,cmd,latency,count
0,DEL,75,1
0,DEL,77,2
0,DEL,78,2
0,DEL,79,3
0,DEL,80,3
0,DEL,81,8
0,DEL,82,15
0,DEL,83,19
0,DEL,84,30
0,DEL,85,30
0,DEL,86,59
0,DEL,87,81
0,DEL,88,92
0,DEL,89,135
0,DEL,90,139
0,DEL,91,193
0,DEL,92,246
0,DEL,93,309
0,DEL,94,360
0,DEL,95,348
0,DEL,96,459
0,DEL,97,491
0,DEL,98,575
0,DEL,99,650
0,DEL,100,747
0,DEL,101,788
0,DEL,102,956
0,DEL,103,986
0,DEL,104,1093
0,DEL,105,1192
0,DEL,106,1299
0,DEL,107,1409
0,DEL,108,1429
0,DEL,109,1633
0,DEL,110,1662
0,DEL,111,1801
0,DEL,112,1917
0,DEL,113,1919
0,DEL,114,2076
0,DEL,115,2178
0,DEL,116,2233
0,DEL,117,2312
0,DEL,118,2493
0,DEL,119,2512
0,DEL,120,2614
0,DEL,121,2697
0,DEL,122,2705
0,DEL,123,2651
0,DEL,124,2732
0,DEL,125,2827
0,DEL,126,2791
0,DEL,127,2924
0,DEL,128,2769
0,DEL,129,2767
0,DEL,130,2891
0,DEL,131,2873
0,DEL,132,2793
0,DEL,133,2742
0,DEL,134,2658
0,DEL,135,2747
0,DEL,136,2642
0,DEL,137,2761
0,DEL,138,2650
0,DEL,139,2659
0,DEL,140,2481
0,DEL,141,2513
0,DEL,142,2473
0,DEL,143,2394
0,DEL,144,2328
0,DEL,145,2288
0,DEL,146,2221
0,DEL,147,2179
0,DEL,148,2072
0,DEL,149,2061
0,DEL,150,1909
0,DEL,151,1825
0,DEL,152,1744
0,DEL,153,1705
0,DEL,154,1607
0,DEL,155,1604
0,DEL,156,1425
0,DEL,157,1466
0,DEL,158,1371
0,DEL,159,1380
0,DEL,160,1230
0,DEL,161,1202
0,DEL,162,1169
0,DEL,163,1098
0,DEL,164,1026
0,DEL,165,980
0,DEL,166,979
0,DEL,167,902
0,DEL,168,909
0,DEL,169,861
0,DEL,170,761
0,DEL,171,682
0,DEL,172,682
0,DEL,173,675
0,DEL,174,638
0,DEL,175,524
0,DEL,176,549
0,DEL,177,514
0,DEL,178,475
0,DEL,179,486
0,DEL,180,481
0,DEL,181,403
0,DEL,182,368
0,DEL,183,345
0,DEL,184,313
0,DEL,185,339
0,DEL,186,305
0,DEL,187,281
0,DEL,188,292
0,DEL,189,250
0,DEL,190,218
0,DEL,191,205
0,DEL,192,219
0,DEL,193,183
0,DEL,194,200
0,DEL,195,170
0,DEL,196,178
0,DEL,197,160
0,DEL,198,149
0,DEL,199,142
0,DEL,200,131
0,DEL,201,153
0,DEL,202,120
0,DEL,203,121
0,DEL,204,95
0,DEL,205,89
0,DEL,206,97
0,DEL,207,79
0,DEL,208,111
0,DEL,209,60
0,DEL,210,81
0,DEL,211,95
0,DEL,212,70
0,DEL,213,63
0,DEL,214,61
0,DEL,215,55
0,DEL,216,48
0,DEL,217,51
0,DEL,218,46
0,DEL,219,49
0,DEL,220,57
0,DEL,221,47
0,DEL,222,36
0,DEL,223,40
0,DEL,224,38
0,DEL,225,31
0,DEL,226,38
0,DEL,227,36
0,DEL,228,29
0,DEL,229,27
0,DEL,230,29
0,DEL,231,17
0,DEL,232,21
0,DEL,233,25
0,DEL,234,24
0,DEL,235,20
0,DEL,236,16
0,DEL,237,19
0,DEL,238,29
0,DEL,239,31
0,DEL,240,23
0,DEL,241,23
0,DEL,242,16
0,DEL,243,22
0,DEL,244,22
0,DEL,245,17
0,DEL,246,14
0,DEL,247,15
0,DEL,248,10
0,DEL,249,24
0,DEL,250,23
0,DEL,251,13
0,DEL,252,8
0,DEL,253,12
0,DEL,254,10
0,DEL,255,14
0,DEL,257,28
0,DEL,259,25
0,DEL,261,24
0,DEL,263,12
