# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.206.35,34.51.141.155,34.51.233.141", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "redis_four_nodes"]
thread,cmd,latency,count
0,DEL,83,1
0,DEL,84,1
0,DEL,85,1
0,DEL,86,1
0,DEL,87,7
0,DEL,88,9
0,DEL,89,5
0,DEL,90,15
0,DEL,91,24
0,DEL,92,21
0,DEL,93,33
0,DEL,94,54
0,DEL,95,65
0,DEL,96,84
0,DEL,97,91
0,DEL,98,129
0,DEL,99,155
0,DEL,100,228
0,DEL,101,253
0,DEL,102,269
0,DEL,103,307
0,DEL,104,415
0,DEL,105,447
0,DEL,106,458
0,DEL,107,623
0,DEL,108,642
0,DEL,109,642
0,DEL,110,771
0,DEL,111,862
0,DEL,112,918
0,DEL,113,1033
0,DEL,114,1105
0,DEL,115,1192
0,DEL,116,1292
0,DEL,117,1412
0,DEL,118,1461
0,DEL,119,1581
0,DEL,120,1683
0,DEL,121,1700
0,DEL,122,1902
0,DEL,123,1911
0,DEL,124,2063
0,DEL,125,1978
0,DEL,126,2154
0,DEL,127,2206
0,DEL,128,2276
0,DEL,129,2319
0,DEL,130,2423
0,DEL,131,2378
0,DEL,132,2384
0,DEL,133,2457
0,DEL,134,2630
0,DEL,135,2564
0,DEL,136,2551
0,DEL,137,2509
0,DEL,138,2610
0,DEL,139,2619
0,DEL,140,2568
0,DEL,141,2564
0,DEL,142,2561
0,DEL,143,2665
0,DEL,144,2606
0,DEL,145,2536
0,DEL,146,2528
0,DEL,147,2578
0,DEL,148,2551
0,DEL,149,2455
0,DEL,150,2325
0,DEL,151,2331
0,DEL,152,2333
0,DEL,153,2233
0,DEL,154,2168
0,DEL,155,2062
0,DEL,156,2019
0,DEL,157,2059
0,DEL,158,1915
0,DEL,159,1954
0,DEL,160,1880
0,DEL,161,1747
0,DEL,162,1755
0,DEL,163,1698
0,DEL,164,1613
0,DEL,165,1555
0,DEL,166,1586
