# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.233.141,34.51.141.155,34.51.168.189,34.51.237.100", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "--port", "7000"]
thread,cmd,latency,count
0,DEL,76,1
0,DEL,77,1
0,DEL,78,4
0,DEL,79,11
0,DEL,80,15
0,DEL,81,23
0,DEL,82,23
0,DEL,83,54
0,DEL,84,47
0,DEL,85,87
0,DEL,86,120
0,DEL,87,127
0,DEL,88,168
0,DEL,89,220
0,DEL,90,225
0,DEL,91,269
0,DEL,92,344
0,DEL,93,319
0,DEL,94,400
0,DEL,95,462
0,DEL,96,491
0,DEL,97,545
0,DEL,98,636
0,DEL,99,763
0,DEL,100,766
0,DEL,101,870
0,DEL,102,936
0,DEL,103,982
0,DEL,104,1042
0,DEL,105,1147
0,DEL,106,1211
0,DEL,107,1267
0,DEL,108,1346
0,DEL,109,1404
0,DEL,110,1466
0,DEL,111,1557
0,DEL,112,1568
0,DEL,113,1645
0,DEL,114,1691
0,DEL,115,1749
0,DEL,116,1752
0,DEL,117,1856
0,DEL,118,1931
0,DEL,119,1943
0,DEL,120,2056
0,DEL,121,1975
0,DEL,122,2289
0,DEL,123,2192
0,DEL,124,2109
0,DEL,125,2240
0,DEL,126,2255
0,DEL,127,2204
0,DEL,128,2166
0,DEL,129,2280
0,DEL,130,2242
0,DEL,131,2326
0,DEL,132,2261
0,DEL,133,2403
0,DEL,134,2275
0,DEL,135,2357
0,DEL,136,2236
0,DEL,137,2319
0,DEL,138,2324
0,DEL,139,2279
0,DEL,140,2358
0,DEL,141,2173
0,DEL,142,2214
0,DEL,143,2174
0,DEL,144,2097
0,DEL,145,2119
0,DEL,146,2104
0,DEL,147,1996
0,DEL,148,2004
0,DEL,149,2096
0,DEL,150,1968
0,DEL,151,1849
0,DEL,152,1948
0,DEL,153,1896
0,DEL,154,1809
0,DEL,155,1716
0,DEL,156,1647
0,DEL,157,1653
0,DEL,158,1577
0,DEL,159,1540
0,DEL,160,1511
0,DEL,161,1473
0,DEL,162,1386
0,DEL,163,1381
0,DEL,164,1325
0,DEL,165,1316
0,DEL,166,1238
0,DEL,167,1232
0,DEL,168,1170
0,DEL,169,1101
0,DEL,170,1060
