# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70", "-c", "etc", "-r", "100000", "-t", "32", "-o", "acdis_one_node"]
thread,cmd,latency,count
0,DEL,107,2
0,DEL,109,1
0,DEL,110,1
0,DEL,113,1
0,DEL,116,2
0,DEL,118,3
0,DEL,120,2
0,DEL,121,1
0,DEL,122,1
0,DEL,123,2
0,DEL,124,1
0,DEL,125,2
0,DEL,126,1
0,DEL,130,4
0,DEL,132,2
0,DEL,135,3
0,DEL,136,1
0,DEL,137,2
0,DEL,138,1
0,DEL,139,4
0,DEL,140,4
0,DEL,142,1
0,DEL,143,1
0,DEL,144,2
0,DEL,145,5
0,DEL,146,2
0,DEL,147,5
0,DEL,148,3
0,DEL,149,5
0,DEL,150,2
0,DEL,151,1
0,DEL,153,3
0,DEL,154,1
0,DEL,155,4
0,DEL,156,3
0,DEL,157,2
0,DEL,158,3
0,DEL,159,4
0,DEL,160,2
0,DEL,161,3
0,DEL,162,2
0,DEL,163,2
0,DEL,164,4
0,DEL,165,2
0,DEL,166,1
0,DEL,167,4
0,DEL,168,2
0,DEL,169,1
0,DEL,170,1
0,DEL,171,4
0,DEL,172,2
0,DEL,173,3
0,DEL,174,2
0,DEL,175,3
0,DEL,176,2
0,DEL,177,3
0,DEL,178,5
0,DEL,179,1
0,DEL,180,1
0,DEL,181,7
0,DEL,182,4
0,DEL,184,1
0,DEL,185,3
0,DEL,186,2
0,DEL,187,4
0,DEL,188,2
0,DEL,190,1
0,DEL,191,3
0,DEL,192,3
0,DEL,193,4
0,DEL,194,2
0,DEL,197,2
0,DEL,198,2
0,DEL,199,2
0,DEL,200,2
0,DEL,201,2
0,DEL,202,1
0,DEL,204,2
0,DEL,205,1
0,DEL,206,2
0,DEL,209,2
0,DEL,210,2
0,DEL,211,2
0,DEL,213,2
0,DEL,215,1
0,DEL,216,1
0,DEL,218,4
0,DEL,220,2
0,DEL,222,1
0,DEL,223,2
0,DEL,224,2
0,DEL,225,1
0,DEL,226,3
0,DEL,228,2
0,DEL,229,2
0,DEL,231,2
0,DEL,232,1
0,DEL,233,1
0,DEL,234,1
0,DEL,235,2
0,DEL,236,2
0,DEL,237,1
0,DEL,238,1
0,DEL,239,1
0,DEL,241,1
0,DEL,242,1
0,DEL,243,2
0,DEL,246,1
0,DEL,247,1
0,DEL,249,1
0,DEL,250,3
0,DEL,251,3
0,DEL,254,2
0,DEL,255,1
0,DEL,257,1
0,DEL,259,3
0,DEL,261,5
0,DEL,263,1
0,DEL,265,5
0,DEL,267,4
0,DEL,269,4
0,DEL,273,3
0,DEL,275,3
0,DEL,277,4
0,DEL,279,3
0,DEL,281,3
0,DEL,283,4
0,DEL,285,3
0,DEL,287,3
0,DEL,289,3
0,DEL,291,1
0,DEL,293,2
0,DEL,295,4
0,DEL,297,1
0,DEL,299,3
0,DEL,301,2
0,DEL,303,2
0,DEL,305,2
0,DEL,307,4
0,DEL,309,4
0,DEL,311,3
0,DEL,313,4
0,DEL,315,3
0,DEL,317,5
0,DEL,319,2
0,DEL,321,2
0,DEL,323,2
0,DEL,325,5
0,DEL,329,4
0,DEL,331,1
0,DEL,333,8
0,DEL,335,3
0,DEL,337,3
0,DEL,339,1
0,DEL,341,1
0,DEL,343,5
0,DEL,345,2
0,DEL,347,6
0,DEL,349,2
0,DEL,351,7
0,DEL,353,3
0,DEL,355,2
0,DEL,357,2
0,DEL,359,4
0,DEL,361,3
0,DEL,363,3
0,DEL,365,6
0,DEL,367,8
0,DEL,369,4
0,DEL,371,4
0,DEL,373,3
0,DEL,375,5
0,DEL,377,3
0,DEL,379,3
0,DEL,381,1
0,DEL,383,2
0,DEL,385,3
0,DEL,387,3
0,DEL,389,1
0,DEL,391,2
0,DEL,393,5
0,DEL,395,4
0,DEL,397,3
0,DEL,399,5
0,DEL,401,1
0,DEL,403,4
0,DEL,405,4
0,DEL,407,6
0,DEL,409,3
0,DEL,411,2
0,DEL,413,5
0,DEL,415,4
0,DEL,417,5
0,DEL,419,1
0,DEL,421,4
0,DEL,423,7
0,DEL,425,5
0,DEL,427,4
0,DEL,429,7
0,DEL,431,6
0,DEL,433,4
0,DEL,435,8
0,DEL,437,4
0,DEL,439,5
0,DEL,441,3
0,DEL,443,2
0,DEL,445,2
0,DEL,447,4
0,DEL,449,8
0,DEL,451,5
0,DEL,453,4
0,DEL,455,5
0,DEL,457,4
0,DEL,459,6
0,DEL,461,3
0,DEL,463,4
0,DEL,465,2
0,DEL,467,2
0,DEL,469,2
0,DEL,471,3
0,DEL,473,3
0,DEL,475,1
0,DEL,477,3
0,DEL,479,4
0,DEL,481,2
0,DEL,483,5
0,DEL,485,4
0,DEL,487,4
0,DEL,489,4
0,DEL,491,3
0,DEL,493,3
0,DEL,495,3
0,DEL,497,3
0,DEL,499,2
0,DEL,501,2
0,DEL,503,2
0,DEL,505,2
0,DEL,507,3
0,DEL,509,4
0,DEL,511,7
0,DEL,515,5
0,DEL,519,2
0,DEL,523,7
0,DEL,527,4
0,DEL,531,5
0,DEL,535,9
0,DEL,539,5
0,DEL,543,4
0,DEL,547,2
0,DEL,551,2
0,DEL,555,4
0,DEL,559,5
0,DEL,563,1
0,DEL,567,1
0,DEL,571,1
0,DEL,575,2
0,DEL,579,4
0,DEL,583,2
0,DEL,587,2
0,DEL,591,1
0,DEL,595,3
0,DEL,599,2
0,DEL,607,2
0,DEL,615,4
0,DEL,619,2
0,DEL,623,3
0,DEL,631,3
0,DEL,635,2
0,DEL,639,1
0,DEL,643,1
0,DEL,651,1
0,DEL,659,1
0,DEL,663,1
0,DEL,671,1
0,DEL,683,1
0,DEL,687,1
0,DEL,715,1
0,DEL,751,1
0,DEL,783,1
0,DEL,791,1
0,DEL,883,1
0,DEL,939,1
0,DEL,947,1
0,DEL,1003,1
0,SET,115,1
0,SET,128,1
0,SET,138,1
0,SET,140,1
0,SET,142,1
0,SET,146,1
0,SET,147,1
0,SET,148,1
0,SET,150,1
0,SET,152,1
0,SET,153,1
0,SET,155,1
0,SET,158,1
0,SET,159,1
0,SET,166,1
0,SET,169,1
0,SET,170,1
0,SET,174,1
0,SET,178,1
0,SET,179,1
0,SET,180,1
0,SET,181,1
0,SET,185,2
0,SET,186,2
0,SET,187,1
0,SET,190,1
0,SET,195,1
0,SET,201,1
