# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.206.35", "-c", "etc", "-r", "20000000", "-t", "32", "-o", "redis_single_node"]
thread,cmd,latency,count
0,SET,92,1
0,SET,100,1
0,SET,101,1
0,SET,103,3
0,SET,105,1
0,SET,106,4
0,SET,107,2
0,SET,108,1
0,SET,109,2
0,SET,110,1
0,SET,111,2
0,SET,112,1
0,SET,113,2
0,SET,114,2
0,SET,115,3
0,SET,116,2
0,SET,117,2
0,SET,118,2
0,SET,119,11
0,SET,120,3
0,SET,121,9
0,SET,122,11
0,SET,123,9
0,SET,124,7
0,SET,125,7
0,SET,126,6
0,SET,127,4
0,SET,128,9
0,SET,129,14
0,SET,130,8
0,SET,131,4
0,SET,132,10
0,SET,133,10
0,SET,134,7
0,SET,135,14
0,SET,136,8
0,SET,137,11
0,SET,138,16
0,SET,139,8
0,SET,140,11
0,SET,141,11
0,SET,142,11
0,SET,143,8
0,SET,144,17
0,SET,145,10
0,SET,146,17
0,SET,147,13
0,SET,148,13
0,SET,149,10
0,SET,150,14
0,SET,151,23
0,SET,152,15
0,SET,153,15
0,SET,154,16
0,SET,155,21
0,SET,156,11
0,SET,157,6
0,SET,158,13
0,SET,159,15
0,SET,160,14
0,SET,161,10
0,SET,162,12
0,SET,163,11
0,SET,164,12
0,SET,165,14
0,SET,166,15
0,SET,167,9
0,SET,168,14
0,SET,169,21
0,SET,170,18
0,SET,171,27
0,SET,172,12
0,SET,173,11
0,SET,174,10
0,SET,175,10
0,SET,176,10
0,SET,177,13
0,SET,178,11
0,SET,179,11
0,SET,180,12
0,SET,181,16
0,SET,182,17
0,SET,183,11
0,SET,184,11
0,SET,185,19
0,SET,186,15
0,SET,187,15
0,SET,188,19
0,SET,189,11
0,SET,190,17
0,SET,191,19
0,SET,192,16
0,SET,193,16
0,SET,194,22
0,SET,195,18
0,SET,196,26
0,SET,197,15
0,SET,198,16
0,SET,199,26
0,SET,200,21
0,SET,201,31
0,SET,202,17
0,SET,203,23
0,SET,204,23
0,SET,205,30
0,SET,206,35
0,SET,207,32
0,SET,208,36
0,SET,209,36
0,SET,210,35
0,SET,211,37
0,SET,212,33
0,SET,213,40
0,SET,214,50
0,SET,215,47
0,SET,216,57
0,SET,217,50
0,SET,218,65
0,SET,219,62
0,SET,220,75
0,SET,221,71
0,SET,222,81
0,SET,223,63
0,SET,224,83
0,SET,225,74
0,SET,226,91
0,SET,227,87
0,SET,228,89
0,SET,229,80
0,SET,230,89
0,SET,231,89
0,SET,232,91
0,SET,233,89
0,SET,234,107
0,SET,235,103
0,SET,236,95
0,SET,237,113
0,SET,238,132
0,SET,239,122
0,SET,240,113
0,SET,241,114
0,SET,242,109
0,SET,243,112
0,SET,244,129
0,SET,245,119
0,SET,246,142
0,SET,247,123
0,SET,248,149
0,SET,249,146
0,SET,250,156
0,SET,251,137
0,SET,252,162
0,SET,253,163
0,SET,254,184
0,SET,255,153
0,SET,257,349
0,SET,259,332
0,SET,261,366
0,SET,263,370
0,SET,265,402
0,SET,267,403
0,SET,269,409
0,SET,271,409
0,SET,273,402
0,SET,275,432
0,SET,277,396
0,SET,279,407
0,SET,281,452
0,SET,283,423
0,SET,285,460
0,SET,287,452
0,SET,289,431
0,SET,291,482
0,SET,293,448
0,SET,295,426
0,SET,297,495
0,SET,299,463
0,SET,301,467
0,SET,303,410
0,SET,305,444
0,SET,307,423
0,SET,309,424
0,SET,311,404
0,SET,313,421
0,SET,315,422
0,SET,317,417
0,SET,319,439
0,SET,321,405
0,SET,323,402
0,SET,325,402
0,SET,327,357
0,SET,329,408
0,SET,331,389
0,SET,333,391
0,SET,335,388
0,SET,337,360
0,SET,339,351
0,SET,341,345
0,SET,343,350
0,SET,345,340
0,SET,347,321
0,SET,349,325
0,SET,351,319
0,SET,353,311
0,SET,355,283
0,SET,357,303
0,SET,359,288
0,SET,361,265
0,SET,363,263
0,SET,365,227
0,SET,367,255
0,SET,369,221
0,SET,371,222
0,SET,373,201
0,SET,375,204
0,SET,377,204
0,SET,379,191
0,SET,381,213
0,SET,383,164
0,SET,385,142
0,SET,387,158
0,SET,389,128
0,SET,391,141
0,SET,393,138
0,SET,395,122
0,SET,397,125
0,SET,399,101
0,SET,401,113
0,SET,403,98
0,SET,405,94
0,SET,407,72
0,SET,409,81
0,SET,411,62
0,SET,413,65
0,SET,415,68
0,SET,417,53
0,SET,419,55
0,SET,421,43
0,SET,423,42
0,SET,425,31
0,SET,427,42
0,SET,429,25
0,SET,431,36
0,SET,433,31
0,SET,435,17
0,SET,437,17
0,SET,439,28
0,SET,441,12
0,SET,443,12
0,SET,445,10
0,SET,447,10
0,SET,449,13
0,SET,451,10
0,SET,453,6
0,SET,455,6
0,SET,457,5
0,SET,459,7
0,SET,461,6
0,SET,463,4
0,SET,465,6
0,SET,467,2
0,SET,469,3
0,SET,471,7
0,SET,473,5
0,SET,475,3
0,SET,477,4
0,SET,479,2
0,SET,481,1
0,SET,483,2
0,SET,485,2
0,SET,487,2
0,SET,489,2
0,SET,491,4
0,SET,493,1
0,SET,495,1
0,SET,497,3
0,SET,501,1
0,SET,505,2
0,SET,507,1
0,SET,509,1
0,SET,515,3
0,SET,519,1
0,SET,523,3
0,SET,527,3
0,SET,531,4
0,SET,539,2
0,SET,543,1
0,SET,551,3
0,SET,555,1
0,SET,563,2
0,SET,567,1
0,SET,571,2
0,SET,575,1
0,SET,583,1
0,SET,587,1
0,SET,591,1
0,SET,595,1
0,SET,599,3
0,SET,611,2
0,SET,627,1
0,SET,639,1
0,SET,655,1
0,SET,679,1
0,SET,699,1
0,SET,707,1
0,SET,735,1
0,SET,751,1
0,SET,763,2
0,SET,767,1
0,SET,791,1
0,SET,867,1
0,SET,1439,1
0,SET,1831,1
0,SET,2159,1
0,GET,86,1
0,GET,89,1
0,GET,92,1
0,GET,93,1
0,GET,94,5
0,GET,95,2
0,GET,96,6
0,GET,97,5
0,GET,98,10
0,GET,99,8
0,GET,100,17
0,GET,101,13
0,GET,102,17
0,GET,103,19
0,GET,104,27
0,GET,105,22
0,GET,106,37
0,GET,107,33
0,GET,108,33
0,GET,109,53
0,GET,110,42
0,GET,111,62
0,GET,112,67
0,GET,113,61
0,GET,114,60
0,GET,115,74
0,GET,116,75
0,GET,117,75
0,GET,118,78
0,GET,119,86
0,GET,120,129
0,GET,121,107
0,GET,122,105
0,GET,123,117
0,GET,124,111
0,GET,125,125
0,GET,126,137
0,GET,127,135
0,GET,128,157
0,GET,129,165
0,GET,130,145
0,GET,131,163
0,GET,132,150
0,GET,133,164
0,GET,134,157
0,GET,135,160
0,GET,136,171
0,GET,137,172
0,GET,138,179
0,GET,139,171
0,GET,140,178
0,GET,141,180
0,GET,142,165
0,GET,143,186
0,GET,144,211
0,GET,145,199
0,GET,146,194
0,GET,147,207
0,GET,148,194
0,GET,149,170
0,GET,150,189
0,GET,151,208
0,GET,152,172
0,GET,153,170
0,GET,154,176
0,GET,155,200
0,GET,156,187
0,GET,157,178
0,GET,158,155
0,GET,159,162
0,GET,160,140
0,GET,161,171
0,GET,162,162
0,GET,163,179
0,GET,164,170
0,GET,165,165
0,GET,166,189
0,GET,167,171
0,GET,168,172
0,GET,169,148
0,GET,170,139
0,GET,171,166
0,GET,172,147
0,GET,173,160
0,GET,174,153
0,GET,175,167
0,GET,176,184
0,GET,177,159
0,GET,178,152
0,GET,179,162
0,GET,180,172
0,GET,181,166
0,GET,182,190
0,GET,183,169
0,GET,184,197
0,GET,185,209
0,GET,186,213
0,GET,187,224
0,GET,188,235
0,GET,189,217
0,GET,190,206
0,GET,191,279
0,GET,192,272
0,GET,193,263
0,GET,194,263
0,GET,195,256
0,GET,196,296
0,GET,197,319
0,GET,198,358
0,GET,199,341
0,GET,200,385
0,GET,201,432
0,GET,202,404
0,GET,203,440
0,GET,204,463
0,GET,205,485
0,GET,206,496
0,GET,207,528
0,GET,208,570
0,GET,209,531
0,GET,210,591
0,GET,211,624
0,GET,212,659
0,GET,213,682
0,GET,214,707
0,GET,215,745
0,GET,216,802
0,GET,217,836
0,GET,218,803
0,GET,219,906
0,GET,220,876
0,GET,221,1004
0,GET,222,1057
0,GET,223,1085
0,GET,224,1093
0,GET,225,1169
0,GET,226,1261
0,GET,227,1252
0,GET,228,1254
0,GET,229,1356
0,GET,230,1370
0,GET,231,1394
0,GET,232,1394
0,GET,233,1483
0,GET,234,1539
0,GET,235,1553
0,GET,236,1605
0,GET,237,1605
0,GET,238,1694
0,GET,239,1672
0,GET,240,1765
0,GET,241,1759
0,GET,242,1784
0,GET,243,1898
0,GET,244,1923
0,GET,245,1985
0,GET,246,2026
0,GET,247,2065
0,GET,248,2143
0,GET,249,2127
0,GET,250,2210
0,GET,251,2236
0,GET,252,2215
0,GET,253,2330
0,GET,254,2228
0,GET,255,2446
0,GET,257,4682
0,GET,259,4911
0,GET,261,5006
0,GET,263,5119
0,GET,265,5236
0,GET,267,5584
0,GET,269,5622
0,GET,271,5921
0,GET,273,5896
0,GET,275,6035
0,GET,277,6129
0,GET,279,6183
0,GET,281,6318
0,GET,283,6199
0,GET,285,6476
0,GET,287,6321
0,GET,289,6279
0,GET,291,6401
0,GET,293,6383
0,GET,295,6385
0,GET,297,6329
0,GET,299,6329
0,GET,301,6408
0,GET,303,6350
0,GET,305,6261
0,GET,307,6131
0,GET,309,5929
0,GET,311,6097
0,GET,313,5790
0,GET,315,5861
0,GET,317,5805
0,GET,319,5698
0,GET,321,5574
0,GET,323,5574
0,GET,325,5525
0,GET,327,5349
0,GET,329,5271
0,GET,331,5157
0,GET,333,5253
0,GET,335,4927
0,GET,337,4955
0,GET,339,4786
0,GET,341,4616
0,GET,343,4541
0,GET,345,4607
0,GET,347,4453
0,GET,349,4312
0,GET,351,4224
0,GET,353,4031
0,GET,355,4045
0,GET,357,3880
0,GET,359,3766
0,GET,361,3478
0,GET,363,3444
0,GET,365,3306
0,GET,367,3279
0,GET,369,3198
0,GET,371,3025
0,GET,373,2949
0,GET,375,2787
0,GET,377,2666
0,GET,379,2584
0,GET,381,2368
0,GET,383,2274
0,GET,385,2292
0,GET,387,2101
0,GET,389,1936
0,GET,391,1865
0,GET,393,1778
0,GET,395,1601
0,GET,397,1460
0,GET,399,1392
0,GET,401,1352
0,GET,403,1129
0,GET,405,1142
0,GET,407,976
0,GET,409,977
0,GET,411,787
0,GET,413,806
0,GET,415,704
0,GET,417,624
0,GET,419,602
0,GET,421,488
0,GET,423,499
0,GET,425,406
0,GET,427,371
0,GET,429,309
0,GET,431,278
0,GET,433,281
0,GET,435,230
0,GET,437,192
0,GET,439,170
0,GET,441,158
0,GET,443,154
0,GET,445,135
0,GET,447,125
0,GET,449,82
