# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.141.155", "-c", "etc", "-r", "20000000", "-t", "32"]
thread,cmd,latency,count
0,DEL,100,1
0,DEL,103,1
0,DEL,104,1
0,DEL,105,1
0,DEL,106,2
0,DEL,107,1
0,DEL,109,1
0,DEL,111,1
0,DEL,112,1
0,DEL,115,2
0,DEL,119,2
0,DEL,120,3
0,DEL,121,4
0,DEL,122,1
0,DEL,123,2
0,DEL,124,4
0,DEL,125,3
0,DEL,126,5
0,DEL,127,3
0,DEL,129,3
0,DEL,130,4
0,DEL,131,1
0,DEL,132,3
0,DEL,133,3
0,DEL,134,5
0,DEL,135,12
0,DEL,136,7
0,DEL,137,2
0,DEL,138,5
0,DEL,139,8
0,DEL,140,7
0,DEL,141,10
0,DEL,142,6
0,DEL,143,4
0,DEL,144,4
0,DEL,145,6
0,DEL,146,12
0,DEL,147,9
0,DEL,148,7
0,DEL,149,16
0,DEL,150,8
0,DEL,151,13
0,DEL,152,13
0,DEL,153,12
0,DEL,154,10
0,DEL,155,10
0,DEL,156,21
0,DEL,157,15
0,DEL,158,14
0,DEL,159,17
0,DEL,160,18
0,DEL,161,16
0,DEL,162,12
0,DEL,163,14
0,DEL,164,19
0,DEL,165,17
0,DEL,166,18
0,DEL,167,15
0,DEL,168,18
0,DEL,169,25
0,DEL,170,19
0,DEL,171,27
0,DEL,172,26
0,DEL,173,25
0,DEL,174,21
0,DEL,175,26
0,DEL,176,24
0,DEL,177,37
0,DEL,178,34
0,DEL,179,40
0,DEL,180,29
0,DEL,181,28
0,DEL,182,39
0,DEL,183,32
0,DEL,184,37
0,DEL,185,33
0,DEL,186,37
0,DEL,187,54
0,DEL,188,38
0,DEL,189,45
0,DEL,190,57
0,DEL,191,64
0,DEL,192,59
0,DEL,193,58
0,DEL,194,61
0,DEL,195,66
0,DEL,196,62
0,DEL,197,80
0,DEL,198,66
0,DEL,199,70
0,DEL,200,106
0,DEL,201,89
0,DEL,202,91
0,DEL,203,113
0,DEL,204,98
0,DEL,205,96
0,DEL,206,113
0,DEL,207,123
0,DEL,208,138
0,DEL,209,125
0,DEL,210,147
0,DEL,211,125
0,DEL,212,152
0,DEL,213,185
0,DEL,214,169
0,DEL,215,180
0,DEL,216,195
0,DEL,217,191
0,DEL,218,223
0,DEL,219,201
0,DEL,220,241
0,DEL,221,231
0,DEL,222,284
0,DEL,223,263
0,DEL,224,276
0,DEL,225,258
0,DEL,226,317
0,DEL,227,312
0,DEL,228,316
0,DEL,229,332
0,DEL,230,335
0,DEL,231,332
0,DEL,232,357
0,DEL,233,333
0,DEL,234,396
0,DEL,235,363
0,DEL,236,367
0,DEL,237,367
0,DEL,238,372
0,DEL,239,388
0,DEL,240,392
0,DEL,241,372
0,DEL,242,404
0,DEL,243,383
0,DEL,244,348
0,DEL,245,379
0,DEL,246,341
0,DEL,247,364
0,DEL,248,335
0,DEL,249,396
0,DEL,250,374
0,DEL,251,310
0,DEL,252,333
0,DEL,253,330
0,DEL,254,311
0,DEL,255,297
0,DEL,257,594
0,DEL,259,507
0,DEL,261,519
0,DEL,263,470
0,DEL,265,449
0,DEL,267,429
0,DEL,269,399
0,DEL,271,382
0,DEL,273,344
0,DEL,275,334
0,DEL,277,325
0,DEL,279,318
0,DEL,281,298
0,DEL,283,274
0,DEL,285,248
0,DEL,287,268
0,DEL,289,252
0,DEL,291,273
0,DEL,293,247
0,DEL,295,274
0,DEL,297,293
0,DEL,299,332
0,DEL,301,291
0,DEL,303,417
0,DEL,305,462
0,DEL,307,518
0,DEL,309,602
0,DEL,311,795
0,DEL,313,994
0,DEL,315,1154
0,DEL,317,1343
0,DEL,319,1567
0,DEL,321,1800
0,DEL,323,2172
0,DEL,325,2557
0,DEL,327,2879
0,DEL,329,3216
0,DEL,331,3820
0,DEL,333,4134
0,DEL,335,4534
0,DEL,337,4747
0,DEL,339,5086
0,DEL,341,5363
0,DEL,343,5436
0,DEL,345,5528
0,DEL,347,5603
0,DEL,349,5473
0,DEL,351,5199
0,DEL,353,5094
0,DEL,355,4899
0,DEL,357,4617
0,DEL,359,4291
0,DEL,361,4009
0,DEL,363,3649
0,DEL,365,3438
0,DEL,367,2986
0,DEL,369,2614
0,DEL,371,2322
0,DEL,373,2035
0,DEL,375,1858
0,DEL,377,1606
0,DEL,379,1453
0,DEL,381,1269
0,DEL,383,1124
0,DEL,385,934
0,DEL,387,854
0,DEL,389,753
0,DEL,391,647
0,DEL,393,559
0,DEL,395,465
0,DEL,397,423
0,DEL,399,368
0,DEL,401,340
0,DEL,403,281
0,DEL,405,267
0,DEL,407,228
0,DEL,409,207
0,DEL,411,159
0,DEL,413,146
0,DEL,415,145
0,DEL,417,131
0,DEL,419,150
0,DEL,421,103
