# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.177.123,34.51.233.141,34.51.237.100", "-c", "etc", "-r", "50000", "-t", "32", "--cluster", "-o", "acdis_three_nodes_jemalloc_shrink_50k"]
thread,cmd,latency,count
0,GET,111,1
0,GET,116,1
0,GET,117,1
0,GET,119,1
0,GET,138,1
0,GET,145,2
0,GET,146,1
0,GET,147,1
0,GET,149,1
0,GET,151,1
0,GET,154,1
0,GET,155,2
0,GET,157,2
0,GET,160,1
0,GET,161,1
0,GET,162,1
0,GET,164,1
0,GET,165,1
0,GET,166,2
0,GET,167,2
0,GET,170,1
0,GET,171,2
0,GET,172,5
0,GET,173,2
0,GET,174,3
0,GET,175,4
0,GET,176,2
0,GET,177,3
0,GET,178,1
0,GET,179,1
0,GET,180,2
0,GET,181,2
0,GET,182,6
0,GET,184,7
0,GET,185,2
0,GET,186,3
0,GET,187,1
0,GET,188,4
0,GET,189,5
0,GET,190,5
0,GET,191,1
0,GET,192,1
0,GET,193,5
0,GET,194,6
0,GET,195,3
0,GET,196,3
0,GET,197,4
0,GET,198,2
0,GET,199,3
0,GET,200,2
0,GET,201,2
0,GET,202,3
0,GET,203,3
0,GET,204,3
0,GET,205,5
0,GET,206,4
0,GET,207,6
0,GET,208,1
0,GET,209,4
0,GET,210,4
0,GET,211,2
0,GET,212,1
0,GET,213,1
0,GET,214,4
0,GET,215,3
0,GET,216,1
0,GET,217,2
0,GET,218,1
0,GET,219,4
0,GET,220,2
0,GET,221,2
0,GET,222,1
0,GET,223,1
0,GET,224,5
0,GET,225,3
0,GET,226,4
0,GET,227,2
0,GET,228,3
0,GET,229,4
0,GET,230,2
0,GET,231,3
0,GET,232,3
0,GET,233,2
0,GET,234,1
0,GET,235,4
0,GET,236,2
0,GET,237,2
0,GET,238,1
0,GET,239,5
0,GET,240,3
0,GET,241,2
0,GET,243,1
0,GET,244,1
0,GET,247,1
0,GET,250,1
0,GET,251,1
0,GET,253,1
0,GET,255,2
0,GET,257,2
0,GET,259,2
0,GET,261,2
0,GET,263,1
0,GET,265,1
0,GET,267,2
0,GET,271,1
