# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.237.100,34.51.168.189,34.51.190.70", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "--port", "7000"]
thread,cmd,latency,count
0,GET,77,2
0,GET,78,1
0,GET,79,4
0,GET,80,10
0,GET,81,17
0,GET,82,32
0,GET,83,54
0,GET,84,62
0,GET,85,91
0,GET,86,139
0,GET,87,204
0,GET,88,269
0,GET,89,297
0,GET,90,362
0,GET,91,473
0,GET,92,486
0,GET,93,598
0,GET,94,704
0,GET,95,866
0,GET,96,940
0,GET,97,1059
0,GET,98,1262
0,GET,99,1453
0,GET,100,1558
0,GET,101,1767
0,GET,102,1952
0,GET,103,2139
0,GET,104,2292
0,GET,105,2537
0,GET,106,2715
0,GET,107,2933
0,GET,108,3038
0,GET,109,3270
0,GET,110,3517
0,GET,111,3761
0,GET,112,3939
0,GET,113,4060
0,GET,114,4297
0,GET,115,4630
0,GET,116,4805
0,GET,117,5228
0,GET,118,5314
0,GET,119,5282
0,GET,120,5743
0,GET,121,5891
0,GET,122,6051
0,GET,123,6193
0,GET,124,6424
0,GET,125,6479
0,GET,126,6394
0,GET,127,6717
0,GET,128,6643
0,GET,129,6829
0,GET,130,6793
0,GET,131,6851
0,GET,132,6900
0,GET,133,6937
0,GET,134,7103
0,GET,135,6944
0,GET,136,6945
0,GET,137,6916
0,GET,138,6961
0,GET,139,7001
0,GET,140,6687
0,GET,141,6884
0,GET,142,6818
0,GET,143,6770
0,GET,144,6603
0,GET,145,6469
0,GET,146,6461
0,GET,147,6148
0,GET,148,6292
0,GET,149,6232
0,GET,150,5965
0,GET,151,5772
0,GET,152,5560
0,GET,153,5492
0,GET,154,5367
0,GET,155,5189
0,GET,156,4965
0,GET,157,4907
0,GET,158,4578
0,GET,159,4511
0,GET,160,4451
0,GET,161,4401
0,GET,162,4107
0,GET,163,3998
0,GET,164,3841
0,GET,165,3860
0,GET,166,3616
0,GET,167,3570
0,GET,168,3322
0,GET,169,3223
0,GET,170,3157
0,GET,171,3017
0,GET,172,2869
0,GET,173,2812
0,GET,174,2659
0,GET,175,2519
0,GET,176,2445
0,GET,177,2340
0,GET,178,2179
0,GET,179,2076
0,GET,180,1999
0,GET,181,1873
0,GET,182,1936
0,GET,183,1737
0,GET,184,1697
0,GET,185,1582
0,GET,186,1500
0,GET,187,1468
0,GET,188,1353
0,GET,189,1352
0,GET,190,1282
0,GET,191,1198
0,GET,192,1180
0,GET,193,1110
0,GET,194,1004
0,GET,195,1023
0,GET,196,937
0,GET,197,897
0,GET,198,833
0,GET,199,801
0,GET,200,794
0,GET,201,703
0,GET,202,683
0,GET,203,633
0,GET,204,619
0,GET,205,584
0,GET,206,530
0,GET,207,560
0,GET,208,531
0,GET,209,480
0,GET,210,457
0,GET,211,488
0,GET,212,358
0,GET,213,397
0,GET,214,334
0,GET,215,336
0,GET,216,290
0,GET,217,339
0,GET,218,306
0,GET,219,269
0,GET,220,275
0,GET,221,294
0,GET,222,218
0,GET,223,233
0,GET,224,207
0,GET,225,197
0,GET,226,169
0,GET,227,163
0,GET,228,183
0,GET,229,176
0,GET,230,172
0,GET,231,155
0,GET,232,154
0,GET,233,132
0,GET,234,144
0,GET,235,140
0,GET,236,113
0,GET,237,114
0,GET,238,102
0,GET,239,91
0,GET,240,101
0,GET,241,101
0,GET,242,80
0,GET,243,78
0,GET,244,77
0,GET,245,81
0,GET,246,75
0,GET,247,76
0,GET,248,67
0,GET,249,72
0,GET,250,70
0,GET,251,67
0,GET,252,71
0,GET,253,68
0,GET,254,51
0,GET,255,52
0,GET,257,113
0,GET,259,97
0,GET,261,81
0,GET,263,98
0,GET,265,82
0,GET,267,75
0,GET,269,100
0,GET,271,78
0,GET,273,51
0,GET,275,73
0,GET,277,59
0,GET,279,74
0,GET,281,55
0,GET,283,69
0,GET,285,55
0,GET,287,43
0,GET,289,65
0,GET,291,55
0,GET,293,45
0,GET,295,48
0,GET,297,43
0,GET,299,49
0,GET,301,38
0,GET,303,39
0,GET,305,43
0,GET,307,42
0,GET,309,33
0,GET,311,32
0,GET,313,39
0,GET,315,38
0,GET,317,28
0,GET,319,29
0,GET,321,20
0,GET,323,45
0,GET,325,30
0,GET,327,23
0,GET,329,35
0,GET,331,28
0,GET,333,23
0,GET,335,15
0,GET,337,24
0,GET,339,20
0,GET,341,22
0,GET,343,20
0,GET,345,18
0,GET,347,13
0,GET,349,21
0,GET,351,17
0,GET,353,18
0,GET,355,18
0,GET,357,11
0,GET,359,11
0,GET,361,9
0,GET,363,21
0,GET,365,9
0,GET,367,11
0,GET,369,11
0,GET,371,11
0,GET,373,14
0,GET,375,10
0,GET,377,9
0,GET,379,5
0,GET,381,12
0,GET,383,9
0,GET,385,9
0,GET,387,9
0,GET,389,13
0,GET,391,9
0,GET,393,10
0,GET,395,8
0,GET,397,7
0,GET,399,5
0,GET,401,8
0,GET,403,5
0,GET,405,10
0,GET,407,4
0,GET,409,3
0,GET,411,2
0,GET,413,6
0,GET,415,5
0,GET,417,10
0,GET,419,5
0,GET,421,4
0,GET,423,6
0,GET,425,1
0,GET,427,4
0,GET,429,2
0,GET,431,3
0,GET,433,2
0,GET,435,3
0,GET,437,3
0,GET,439,2
0,GET,441,4
0,GET,443,3
0,GET,445,6
0,GET,447,1
0,GET,449,4
0,GET,451,3
0,GET,453,3
0,GET,455,4
0,GET,457,1
0,GET,459,1
0,GET,461,3
0,GET,463,1
0,GET,465,2
0,GET,467,4
0,GET,469,2
0,GET,471,3
0,GET,473,2
0,GET,475,1
0,GET,477,2
0,GET,479,2
0,GET,481,1
0,GET,483,1
0,GET,485,2
0,GET,487,2
0,GET,489,1
0,GET,491,2
0,GET,493,1
0,GET,495,1
0,GET,497,2
0,GET,499,2
0,GET,505,2
0,GET,507,1
0,GET,515,4
0,GET,519,4
0,GET,523,1
0,GET,527,5
0,GET,531,1
0,GET,543,2
0,GET,547,1
0,GET,559,2
0,GET,563,1
0,GET,567,3
0,GET,571,5
0,GET,575,6
0,GET,579,3
0,GET,587,2
0,GET,591,1
0,GET,595,1
0,GET,599,3
0,GET,603,1
0,GET,611,1
0,GET,615,1
0,GET,619,1
0,GET,623,3
0,GET,631,1
0,GET,635,1
0,GET,639,1
0,GET,643,1
0,GET,647,4
0,GET,651,2
0,GET,655,1
0,GET,663,1
0,GET,671,2
0,GET,675,1
0,GET,683,1
0,GET,687,1
0,GET,695,1
0,GET,699,2
0,GET,711,1
0,GET,719,1
0,GET,723,1
0,GET,735,1
0,GET,739,2
0,GET,743,1
0,GET,747,2
0,GET,751,1
0,GET,775,1
0,GET,779,1
0,GET,783,2
0,GET,791,1
0,GET,795,1
0,GET,807,1
0,GET,855,1
0,GET,859,2
0,GET,871,1
0,GET,887,1
0,GET,939,1
0,GET,963,1
0,GET,975,1
0,GET,979,1
0,GET,1047,1
0,GET,1199,1
0,GET,1255,1
0,GET,1279,1
0,GET,1351,1
0,GET,1375,1
0,GET,1431,1
0,GET,1439,1
0,GET,1487,2
0,GET,1495,1
0,GET,1543,1
0,GET,1567,2
0,GET,1599,1
0,GET,1607,3
0,GET,1615,2
0,GET,1631,1
0,GET,1639,1
0,GET,1647,1
0,GET,1695,1
0,GET,1703,1
0,GET,1727,1
0,GET,1743,1
0,GET,1807,2
0,GET,1831,1
0,GET,1855,4
0,GET,1863,1
0,GET,1903,1
0,GET,1911,2
0,GET,1919,1
0,GET,1927,1
0,GET,1935,2
0,GET,1967,2
0,GET,1975,1
0,GET,1999,3
0,GET,2007,1
0,GET,2023,1
0,GET,2031,1
0,GET,2039,3
0,GET,2063,1
0,GET,2079,1
0,GET,2095,4
0,GET,2111,1
0,GET,2127,2
0,GET,2143,3
0,GET,2159,1
0,GET,2175,4
0,GET,2191,2
0,GET,2207,4
0,GET,2223,2
0,GET,2271,1
0,GET,2287,2
0,GET,2319,2
0,GET,2335,2
0,GET,2351,1
0,GET,2367,1
0,GET,2383,2
0,GET,2399,2
0,GET,2415,3
0,GET,2431,2
0,GET,2447,3
0,GET,2463,2
0,GET,2495,1
0,GET,2511,1
0,GET,2527,3
0,GET,2543,2
0,GET,2559,1
0,GET,2575,2
0,GET,2591,1
0,GET,2607,1
0,GET,2623,4
0,GET,2639,1
0,GET,2655,2
0,GET,2687,1
0,GET,2735,2
0,GET,2751,1
0,GET,2767,1
0,GET,2799,2
0,GET,2831,2
0,GET,2895,1
0,GET,2911,3
0,GET,2927,1
0,GET,2943,1
0,GET,2975,2
0,GET,2991,1
0,GET,3007,1
0,GET,3039,1
0,GET,3087,1
0,GET,3103,1
0,GET,3119,1
0,GET,3135,1
0,GET,3151,1
0,GET,3167,1
0,GET,3183,1
0,GET,3199,1
0,GET,3215,1
0,GET,3247,2
0,GET,3263,1
0,GET,3279,1
0,GET,3311,3
0,GET,3359,1
0,GET,3407,1
0,GET,3439,2
0,GET,3647,1
0,GET,3711,1
0,GET,3727,1
0,GET,3823,1
0,GET,4287,1
0,GET,4319,1
0,GET,4703,1
0,GET,5567,1
0,GET,7167,1
0,GET,7871,1
0,GET,8447,1
0,GET,10495,1
0,DEL,76,1
0,DEL,78,1
0,DEL,80,3
0,DEL,81,7
0,DEL,82,5
0,DEL,83,12
0,DEL,84,28
0,DEL,85,35
0,DEL,86,53
0,DEL,87,48
0,DEL,88,83
0,DEL,89,93
0,DEL,90,112
0,DEL,91,144
0,DEL,92,165
0,DEL,93,181
0,DEL,94,236
0,DEL,95,265
0,DEL,96,315
0,DEL,97,363
0,DEL,98,384
0,DEL,99,465
0,DEL,100,489
0,DEL,101,598
0,DEL,102,718
0,DEL,103,687
0,DEL,104,789
0,DEL,105,872
0,DEL,106,935
0,DEL,107,993
0,DEL,108,1028
0,DEL,109,1102
0,DEL,110,1181
0,DEL,111,1314
0,DEL,112,1274
0,DEL,113,1422
0,DEL,114,1518
0,DEL,115,1542
0,DEL,116,1623
0,DEL,117,1711
0,DEL,118,1854
0,DEL,119,1888
0,DEL,120,2059
0,DEL,121,2030
0,DEL,122,2095
0,DEL,123,2237
0,DEL,124,2236
0,DEL,125,2292
0,DEL,126,2336
0,DEL,127,2342
0,DEL,128,2375
0,DEL,129,2421
0,DEL,130,2464
0,DEL,131,2418
0,DEL,132,2382
0,DEL,133,2511
0,DEL,134,2428
0,DEL,135,2431
0,DEL,136,2467
0,DEL,137,2473
0,DEL,138,2529
0,DEL,139,2535
0,DEL,140,2532
0,DEL,141,2522
0,DEL,142,2439
0,DEL,143,2481
0,DEL,144,2370
0,DEL,145,2357
0,DEL,146,2442
0,DEL,147,2276
0,DEL,148,2227
0,DEL,149,2269
0,DEL,150,2150
0,DEL,151,2116
0,DEL,152,2004
0,DEL,153,2042
0,DEL,154,1916
0,DEL,155,1845
0,DEL,156,1762
0,DEL,157,1754
0,DEL,158,1747
0,DEL,159,1652
0,DEL,160,1648
0,DEL,161,1588
0,DEL,162,1564
0,DEL,163,1472
0,DEL,164,1432
0,DEL,165,1462
0,DEL,166,1395
0,DEL,167,1280
0,DEL,168,1185
0,DEL,169,1233
0,DEL,170,1102
0,DEL,171,1104
0,DEL,172,1098
0,DEL,173,996
0,DEL,174,985
0,DEL,175,936
0,DEL,176,857
0,DEL,177,890
0,DEL,178,799
0,DEL,179,810
0,DEL,180,751
0,DEL,181,746
0,DEL,182,674
0,DEL,183,641
0,DEL,184,647
0,DEL,185,580
0,DEL,186,584
0,DEL,187,549
0,DEL,188,509
0,DEL,189,470
0,DEL,190,488
0,DEL,191,426
0,DEL,192,401
0,DEL,193,427
0,DEL,194,380
0,DEL,195,343
0,DEL,196,352
0,DEL,197,332
0,DEL,198,339
0,DEL,199,302
0,DEL,200,288
0,DEL,201,285
0,DEL,202,241
0,DEL,203,246
0,DEL,204,236
0,DEL,205,203
0,DEL,206,206
0,DEL,207,202
0,DEL,208,210
0,DEL,209,168
0,DEL,210,167
0,DEL,211,170
0,DEL,212,176
0,DEL,213,118
0,DEL,214,122
0,DEL,215,124
0,DEL,216,117
0,DEL,217,107
0,DEL,218,102
0,DEL,219,110
0,DEL,220,96
0,DEL,221,74
0,DEL,222,94
0,DEL,223,78
0,DEL,224,90
0,DEL,225,82
0,DEL,226,86
0,DEL,227,59
0,DEL,228,67
0,DEL,229,70
0,DEL,230,55
0,DEL,231,50
0,DEL,232,35
0,DEL,233,61
0,DEL,234,57
0,DEL,235,64
0,DEL,236,38
0,DEL,237,52
0,DEL,238,38
0,DEL,239,43
0,DEL,240,36
0,DEL,241,35
0,DEL,242,41
0,DEL,243,47
0,DEL,244,24
0,DEL,245,32
0,DEL,246,28
0,DEL,247,38
0,DEL,248,34
0,DEL,249,30
0,DEL,250,29
0,DEL,251,25
0,DEL,252,26
0,DEL,253,28
