# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.239.75,34.51.237.100", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "acdis_three_nodes"]
thread,cmd,latency,count
0,GET,77,1
0,GET,79,2
0,GET,80,5
0,GET,81,8
0,GET,82,15
0,GET,83,24
0,GET,84,38
0,GET,85,44
0,GET,86,78
0,GET,87,101
0,GET,88,129
0,GET,89,193
0,GET,90,222
0,GET,91,289
0,GET,92,335
0,GET,93,452
0,GET,94,527
0,GET,95,643
0,GET,96,718
0,GET,97,887
0,GET,98,1008
0,GET,99,1222
0,GET,100,1394
0,GET,101,1455
0,GET,102,1690
0,GET,103,1839
0,GET,104,2136
0,GET,105,2346
0,GET,106,2512
0,GET,107,2844
0,GET,108,3019
0,GET,109,3162
0,GET,110,3321
0,GET,111,3661
0,GET,112,3932
0,GET,113,4218
0,GET,114,4300
0,GET,115,4667
0,GET,116,5017
0,GET,117,5202
0,GET,118,5411
0,GET,119,5712
0,GET,120,6007
0,GET,121,6063
0,GET,122,6258
0,GET,123,6587
0,GET,124,6658
0,GET,125,6923
0,GET,126,7069
0,GET,127,7069
0,GET,128,7339
0,GET,129,7299
0,GET,130,7450
0,GET,131,7311
0,GET,132,7469
0,GET,133,7409
0,GET,134,7329
0,GET,135,7734
0,GET,136,7417
0,GET,137,7700
0,GET,138,7522
0,GET,139,7387
0,GET,140,7413
0,GET,141,7257
0,GET,142,7347
0,GET,143,7233
0,GET,144,7108
0,GET,145,7087
0,GET,146,6727
0,GET,147,6624
0,GET,148,6629
0,GET,149,6466
0,GET,150,6342
0,GET,151,5957
0,GET,152,5917
0,GET,153,5656
0,GET,154,5395
0,GET,155,5219
0,GET,156,5124
0,GET,157,4931
0,GET,158,4636
0,GET,159,4691
0,GET,160,4463
0,GET,161,4280
0,GET,162,4172
0,GET,163,4037
0,GET,164,3810
0,GET,165,3599
0,GET,166,3422
0,GET,167,3305
0,GET,168,3274
0,GET,169,3012
0,GET,170,2967
0,GET,171,2825
0,GET,172,2709
0,GET,173,2530
0,GET,174,2316
0,GET,175,2363
0,GET,176,2156
0,GET,177,2125
0,GET,178,1973
0,GET,179,1874
0,GET,180,1779
0,GET,181,1700
0,GET,182,1690
0,GET,183,1495
0,GET,184,1425
0,GET,185,1401
0,GET,186,1340
0,GET,187,1329
0,GET,188,1229
0,GET,189,1062
0,GET,190,1056
0,GET,191,1048
0,GET,192,1007
0,GET,193,874
0,GET,194,820
0,GET,195,807
0,GET,196,779
0,GET,197,750
0,GET,198,705
0,GET,199,635
0,GET,200,623
0,GET,201,534
0,GET,202,537
0,GET,203,533
0,GET,204,466
0,GET,205,425
0,GET,206,434
0,GET,207,404
0,GET,208,401
0,GET,209,351
0,GET,210,336
0,GET,211,297
0,GET,212,307
0,GET,213,256
0,GET,214,253
0,GET,215,264
0,GET,216,249
0,GET,217,204
0,GET,218,216
0,GET,219,203
0,GET,220,201
0,GET,221,168
0,GET,222,196
0,GET,223,166
0,GET,224,173
0,GET,225,108
0,GET,226,130
0,GET,227,120
0,GET,228,114
0,GET,229,144
0,GET,230,110
0,GET,231,104
0,GET,232,101
0,GET,233,101
0,GET,234,97
0,GET,235,95
0,GET,236,98
0,GET,237,95
0,GET,238,68
0,GET,239,87
0,GET,240,72
0,GET,241,77
0,GET,242,52
0,GET,243,60
0,GET,244,60
0,GET,245,67
0,GET,246,59
0,GET,247,42
0,GET,248,53
0,GET,249,41
0,GET,250,53
0,GET,251,59
0,GET,252,45
0,GET,253,41
0,GET,254,47
0,GET,255,28
0,GET,257,74
0,GET,259,68
0,GET,261,73
0,GET,263,66
0,GET,265,62
0,GET,267,62
0,GET,269,51
0,GET,271,49
0,GET,273,41
0,GET,275,41
0,GET,277,48
0,GET,279,40
0,GET,281,37
