# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.190.70,34.51.206.35,34.51.141.155", "--port", "7000", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "-o", "redis_three_nodes"]
thread,cmd,latency,count
0,SET,90,2
0,SET,92,2
0,SET,93,1
0,SET,94,3
0,SET,95,5
0,SET,96,3
0,SET,97,4
0,SET,98,9
0,SET,99,11
0,SET,100,13
0,SET,101,27
0,SET,102,25
0,SET,103,48
0,SET,104,39
0,SET,105,24
0,SET,106,43
0,SET,107,59
0,SET,108,65
0,SET,109,81
0,SET,110,77
0,SET,111,98
0,SET,112,124
0,SET,113,109
0,SET,114,130
0,SET,115,163
0,SET,116,147
0,SET,117,191
0,SET,118,173
0,SET,119,198
0,SET,120,230
0,SET,121,240
0,SET,122,225
0,SET,123,246
0,SET,124,290
0,SET,125,328
0,SET,126,317
0,SET,127,310
0,SET,128,312
0,SET,129,329
0,SET,130,373
0,SET,131,352
0,SET,132,368
0,SET,133,413
0,SET,134,369
0,SET,135,398
0,SET,136,395
0,SET,137,412
0,SET,138,416
0,SET,139,429
0,SET,140,424
0,SET,141,437
0,SET,142,418
0,SET,143,447
0,SET,144,472
0,SET,145,453
0,SET,146,451
0,SET,147,444
0,SET,148,440
0,SET,149,457
0,SET,150,450
0,SET,151,456
0,SET,152,412
0,SET,153,443
0,SET,154,412
0,SET,155,432
0,SET,156,444
0,SET,157,424
0,SET,158,402
0,SET,159,393
0,SET,160,394
0,SET,161,391
0,SET,162,355
0,SET,163,398
0,SET,164,371
0,SET,165,401
0,SET,166,342
0,SET,167,358
0,SET,168,354
0,SET,169,343
0,SET,170,313
0,SET,171,296
0,SET,172,315
0,SET,173,330
0,SET,174,301
0,SET,175,287
0,SET,176,288
0,SET,177,265
0,SET,178,251
0,SET,179,239
0,SET,180,260
0,SET,181,235
0,SET,182,218
0,SET,183,237
0,SET,184,210
0,SET,185,215
0,SET,186,216
0,SET,187,203
0,SET,188,178
0,SET,189,173
0,SET,190,160
0,SET,191,171
0,SET,192,184
0,SET,193,161
0,SET,194,142
0,SET,195,123
0,SET,196,155
0,SET,197,144
0,SET,198,133
0,SET,199,148
0,SET,200,134
0,SET,201,121
0,SET,202,132
0,SET,203,146
0,SET,204,113
0,SET,205,121
0,SET,206,119
0,SET,207,112
0,SET,208,96
0,SET,209,115
0,SET,210,86
0,SET,211,84
0,SET,212,87
0,SET,213,84
0,SET,214,70
0,SET,215,83
0,SET,216,71
0,SET,217,59
0,SET,218,59
0,SET,219,74
0,SET,220,64
0,SET,221,59
0,SET,222,65
0,SET,223,56
0,SET,224,56
0,SET,225,51
0,SET,226,47
0,SET,227,55
0,SET,228,61
0,SET,229,49
0,SET,230,37
0,SET,231,43
0,SET,232,43
0,SET,233,41
0,SET,234,38
0,SET,235,38
0,SET,236,42
0,SET,237,39
0,SET,238,33
0,SET,239,35
0,SET,240,26
0,SET,241,29
0,SET,242,33
0,SET,243,29
0,SET,244,40
0,SET,245,26
0,SET,246,39
0,SET,247,23
0,SET,248,22
0,SET,249,24
0,SET,250,21
0,SET,251,16
0,SET,252,6
0,SET,253,17
0,SET,254,16
0,SET,255,16
0,SET,257,43
0,SET,259,33
0,SET,261,30
0,SET,263,29
0,SET,265,26
0,SET,267,24
0,SET,269,17
0,SET,271,27
0,SET,273,20
0,SET,275,14
0,SET,277,13
0,SET,279,13
0,SET,281,13
0,SET,283,13
0,SET,285,12
0,SET,287,14
0,SET,289,14
0,SET,291,12
0,SET,293,10
0,SET,295,11
0,SET,297,9
0,SET,299,3
0,SET,301,10
0,SET,303,6
0,SET,305,6
0,SET,307,7
0,SET,309,11
0,SET,311,7
0,SET,313,5
0,SET,315,5
0,SET,317,4
0,SET,319,5
0,SET,321,7
0,SET,323,3
0,SET,325,1
0,SET,327,4
0,SET,329,2
0,SET,331,5
0,SET,333,4
0,SET,335,2
0,SET,337,1
0,SET,339,2
0,SET,341,1
0,SET,343,1
0,SET,345,2
0,SET,349,1
0,SET,351,1
0,SET,353,2
0,SET,355,1
0,SET,357,1
0,SET,359,1
0,SET,361,1
0,SET,363,4
0,SET,365,6
0,SET,369,1
0,SET,371,1
0,SET,373,3
0,SET,379,2
0,SET,383,3
0,SET,385,1
0,SET,391,1
0,SET,409,2
0,SET,413,2
0,SET,417,1
0,SET,421,1
0,SET,447,1
0,SET,497,1
0,SET,499,1
0,SET,511,1
0,SET,519,1
0,SET,523,1
0,SET,539,1
0,SET,543,1
0,SET,559,1
0,SET,579,1
0,SET,583,1
0,SET,639,1
0,SET,663,1
0,SET,687,1
0,SET,731,1
0,SET,1343,1
0,SET,1479,1
0,SET,1783,1
0,DEL,80,1
0,DEL,83,1
0,DEL,84,1
0,DEL,85,2
0,DEL,87,1
0,DEL,89,5
0,DEL,90,5
0,DEL,91,8
0,DEL,92,9
0,DEL,93,16
0,DEL,94,30
0,DEL,95,41
0,DEL,96,51
0,DEL,97,70
0,DEL,98,88
0,DEL,99,122
0,DEL,100,155
0,DEL,101,174
0,DEL,102,215
0,DEL,103,251
0,DEL,104,340
0,DEL,105,336
0,DEL,106,399
0,DEL,107,480
0,DEL,108,544
0,DEL,109,576
0,DEL,110,622
0,DEL,111,707
0,DEL,112,777
0,DEL,113,842
0,DEL,114,875
0,DEL,115,1014
0,DEL,116,1020
0,DEL,117,1142
0,DEL,118,1190
0,DEL,119,1304
0,DEL,120,1382
0,DEL,121,1540
0,DEL,122,1517
0,DEL,123,1610
0,DEL,124,1777
0,DEL,125,1721
0,DEL,126,1791
0,DEL,127,1798
0,DEL,128,1973
0,DEL,129,2019
0,DEL,130,2120
0,DEL,131,1999
0,DEL,132,2170
0,DEL,133,2121
0,DEL,134,2139
0,DEL,135,2170
0,DEL,136,2322
0,DEL,137,2391
0,DEL,138,2308
0,DEL,139,2274
0,DEL,140,2314
0,DEL,141,2288
0,DEL,142,2272
0,DEL,143,2240
0,DEL,144,2311
0,DEL,145,2310
0,DEL,146,2288
0,DEL,147,2191
0,DEL,148,2233
0,DEL,149,2189
0,DEL,150,2209
0,DEL,151,2211
0,DEL,152,2144
0,DEL,153,2062
0,DEL,154,2032
0,DEL,155,2068
0,DEL,156,1997
0,DEL,157,1978
0,DEL,158,1965
0,DEL,159,1896
0,DEL,160,1861
0,DEL,161,1830
0,DEL,162,1799
0,DEL,163,1670
0,DEL,164,1722
0,DEL,165,1597
0,DEL,166,1648
0,DEL,167,1620
0,DEL,168,1591
0,DEL,169,1455
0,DEL,170,1400
0,DEL,171,1341
0,DEL,172,1324
0,DEL,173,1322
0,DEL,174,1259
0,DEL,175,1220
0,DEL,176,1193
0,DEL,177,1139
0,DEL,178,1184
0,DEL,179,1063
0,DEL,180,1101
0,DEL,181,961
0,DEL,182,986
0,DEL,183,954
0,DEL,184,966
0,DEL,185,955
0,DEL,186,817
0,DEL,187,849
0,DEL,188,737
0,DEL,189,800
0,DEL,190,797
0,DEL,191,764
0,DEL,192,722
0,DEL,193,687
0,DEL,194,663
0,DEL,195,717
0,DEL,196,647
0,DEL,197,634
0,DEL,198,648
0,DEL,199,579
0,DEL,200,544
0,DEL,201,535
0,DEL,202,519
0,DEL,203,432
0,DEL,204,471
0,DEL,205,438
0,DEL,206,442
0,DEL,207,432
0,DEL,208,441
0,DEL,209,373
0,DEL,210,363
0,DEL,211,382
0,DEL,212,365
0,DEL,213,334
0,DEL,214,351
0,DEL,215,318
0,DEL,216,364
0,DEL,217,295
0,DEL,218,280
0,DEL,219,277
0,DEL,220,270
0,DEL,221,241
0,DEL,222,258
0,DEL,223,237
0,DEL,224,225
0,DEL,225,229
0,DEL,226,212
0,DEL,227,229
0,DEL,228,181
0,DEL,229,193
0,DEL,230,179
0,DEL,231,199
0,DEL,232,150
0,DEL,233,161
0,DEL,234,163
0,DEL,235,164
0,DEL,236,159
0,DEL,237,129
0,DEL,238,141
0,DEL,239,124
0,DEL,240,115
0,DEL,241,120
0,DEL,242,139
0,DEL,243,117
0,DEL,244,109
0,DEL,245,110
0,DEL,246,99
0,DEL,247,81
0,DEL,248,105
0,DEL,249,118
0,DEL,250,91
0,DEL,251,88
0,DEL,252,83
0,DEL,253,75
0,DEL,254,70
0,DEL,255,60
0,DEL,257,156
0,DEL,259,141
0,DEL,261,126
0,DEL,263,109
0,DEL,265,89
0,DEL,267,87
0,DEL,269,84
0,DEL,271,76
0,DEL,273,89
0,DEL,275,68
0,DEL,277,73
0,DEL,279,78
0,DEL,281,49
0,DEL,283,42
0,DEL,285,52
0,DEL,287,42
0,DEL,289,48
0,DEL,291,42
0,DEL,293,39
0,DEL,295,30
0,DEL,297,21
0,DEL,299,35
0,DEL,301,28
0,DEL,303,32
0,DEL,305,24
0,DEL,307,21
0,DEL,309,26
0,DEL,311,20
0,DEL,313,20
0,DEL,315,17
0,DEL,317,24
0,DEL,319,22
0,DEL,321,19
0,DEL,323,10
0,DEL,325,17
0,DEL,327,13
0,DEL,329,11
0,DEL,331,10
0,DEL,333,6
0,DEL,335,16
0,DEL,337,12
0,DEL,339,8
0,DEL,341,6
0,DEL,343,12
0,DEL,345,10
0,DEL,347,2
0,DEL,349,7
0,DEL,351,4
0,DEL,353,7
0,DEL,355,9
0,DEL,357,6
0,DEL,359,7
0,DEL,361,2
