# Args: ["/opt/benchmarker/benchmark", "-a", "34.51.206.35,34.51.190.70,34.51.237.100", "-c", "etc", "-r", "20000000", "-t", "32", "--cluster", "--port", "7000"]
thread,cmd,latency,count
0,SET,90,1
0,SET,94,3
0,SET,95,4
0,SET,96,2
0,SET,97,4
0,SET,98,4
0,SET,99,12
0,SET,100,16
0,SET,101,15
0,SET,102,23
0,SET,103,34
0,SET,104,26
0,SET,105,23
0,SET,106,43
0,SET,107,44
0,SET,108,54
0,SET,109,57
0,SET,110,70
0,SET,111,84
0,SET,112,86
0,SET,113,84
0,SET,114,114
0,SET,115,103
0,SET,116,114
0,SET,117,151
0,SET,118,161
0,SET,119,168
0,SET,120,163
0,SET,121,181
0,SET,122,181
0,SET,123,187
0,SET,124,237
0,SET,125,243
0,SET,126,227
0,SET,127,250
0,SET,128,288
0,SET,129,293
0,SET,130,314
0,SET,131,320
0,SET,132,359
0,SET,133,317
0,SET,134,362
0,SET,135,358
0,SET,136,378
0,SET,137,364
0,SET,138,393
0,SET,139,357
0,SET,140,422
0,SET,141,404
0,SET,142,413
0,SET,143,419
0,SET,144,437
0,SET,145,447
0,SET,146,477
0,SET,147,469
0,SET,148,430
0,SET,149,490
0,SET,150,432
0,SET,151,437
0,SET,152,469
0,SET,153,423
0,SET,154,463
0,SET,155,468
0,SET,156,439
0,SET,157,399
0,SET,158,395
0,SET,159,418
0,SET,160,428
0,SET,161,396
0,SET,162,408
0,SET,163,399
0,SET,164,368
0,SET,165,396
0,SET,166,386
0,SET,167,394
0,SET,168,375
0,SET,169,343
0,SET,170,378
0,SET,171,321
0,SET,172,325
0,SET,173,319
0,SET,174,333
0,SET,175,314
0,SET,176,290
0,SET,177,288
0,SET,178,282
0,SET,179,302
0,SET,180,280
0,SET,181,247
0,SET,182,255
0,SET,183,246
0,SET,184,255
0,SET,185,231
0,SET,186,217
0,SET,187,248
0,SET,188,223
0,SET,189,208
0,SET,190,187
0,SET,191,210
0,SET,192,201
0,SET,193,192
0,SET,194,202
0,SET,195,155
0,SET,196,157
0,SET,197,156
0,SET,198,159
0,SET,199,123
0,SET,200,148
0,SET,201,149
0,SET,202,138
0,SET,203,125
0,SET,204,143
0,SET,205,111
0,SET,206,116
0,SET,207,115
0,SET,208,87
0,SET,209,111
0,SET,210,82
0,SET,211,75
0,SET,212,94
0,SET,213,92
0,SET,214,89
0,SET,215,78
0,SET,216,74
0,SET,217,71
0,SET,218,69
0,SET,219,83
0,SET,220,70
0,SET,221,72
0,SET,222,60
0,SET,223,62
0,SET,224,51
0,SET,225,63
0,SET,226,57
0,SET,227,56
0,SET,228,46
0,SET,229,41
0,SET,230,40
0,SET,231,47
0,SET,232,40
0,SET,233,44
0,SET,234,41
0,SET,235,32
0,SET,236,29
0,SET,237,35
0,SET,238,34
0,SET,239,24
0,SET,240,22
0,SET,241,42
0,SET,242,37
0,SET,243,17
0,SET,244,22
0,SET,245,23
0,SET,246,24
0,SET,247,23
0,SET,248,27
0,SET,249,20
0,SET,250,27
0,SET,251,24
0,SET,252,27
0,SET,253,19
0,SET,254,17
0,SET,255,14
0,SET,257,27
0,SET,259,30
0,SET,261,32
0,SET,263,30
0,SET,265,21
0,SET,267,25
0,SET,269,32
0,SET,271,20
0,SET,273,18
0,SET,275,18
0,SET,277,15
0,SET,279,15
0,SET,281,13
0,SET,283,19
0,SET,285,13
0,SET,287,10
0,SET,289,15
0,SET,291,23
0,SET,293,18
0,SET,295,10
0,SET,297,10
0,SET,299,9
0,SET,301,13
0,SET,303,12
0,SET,305,10
0,SET,307,3
0,SET,309,10
0,SET,311,11
0,SET,313,4
0,SET,315,5
0,SET,317,10
0,SET,319,5
0,SET,321,4
0,SET,323,8
0,SET,325,6
0,SET,327,4
0,SET,329,3
0,SET,331,2
0,SET,333,4
0,SET,335,5
0,SET,337,3
0,SET,339,3
0,SET,341,3
0,SET,343,1
0,SET,345,3
0,SET,347,6
0,SET,349,7
0,SET,351,3
0,SET,353,3
0,SET,355,4
0,SET,357,7
0,SET,359,3
0,SET,361,2
0,SET,363,3
0,SET,367,2
0,SET,369,5
0,SET,371,1
0,SET,375,1
0,SET,379,1
0,SET,385,3
0,SET,387,2
0,SET,389,1
0,SET,391,1
0,SET,395,1
0,SET,401,4
0,SET,403,2
0,SET,405,1
0,SET,407,3
0,SET,409,2
0,SET,413,3
0,SET,415,1
0,SET,417,1
0,SET,429,1
0,SET,431,2
0,SET,443,1
0,SET,445,1
0,SET,449,1
0,SET,451,1
0,SET,455,1
0,SET,459,1
0,SET,467,1
0,SET,471,1
0,SET,475,1
0,SET,483,1
0,SET,503,1
0,SET,515,1
0,SET,519,2
0,SET,527,2
0,SET,531,1
0,SET,543,1
0,SET,547,1
0,SET,567,1
0,SET,571,1
0,SET,587,1
0,SET,599,1
0,SET,607,1
0,SET,651,2
0,SET,667,1
0,SET,675,1
0,SET,731,1
0,SET,743,1
0,SET,787,1
0,SET,827,1
0,SET,883,1
0,SET,935,1
0,SET,1055,2
0,SET,1071,1
0,SET,1095,1
0,SET,1135,1
0,SET,1143,1
0,SET,1151,1
0,SET,1159,1
0,SET,1175,1
0,SET,1183,2
0,SET,1271,1
0,SET,1279,1
0,SET,1327,1
0,SET,1815,1
0,SET,2831,1
0,DEL,85,2
0,DEL,87,1
0,DEL,89,2
0,DEL,90,1
0,DEL,91,11
0,DEL,92,10
0,DEL,93,13
0,DEL,94,9
0,DEL,95,24
0,DEL,96,36
0,DEL,97,38
0,DEL,98,55
0,DEL,99,64
0,DEL,100,69
0,DEL,101,93
0,DEL,102,112
0,DEL,103,153
0,DEL,104,148
0,DEL,105,204
0,DEL,106,230
0,DEL,107,263
0,DEL,108,314
0,DEL,109,334
0,DEL,110,392
0,DEL,111,417
0,DEL,112,459
0,DEL,113,501
0,DEL,114,570
0,DEL,115,596
0,DEL,116,753
0,DEL,117,777
0,DEL,118,841
0,DEL,119,915
0,DEL,120,921
0,DEL,121,1034
0,DEL,122,1128
0,DEL,123,1127
0,DEL,124,1198
0,DEL,125,1288
0,DEL,126,1325
0,DEL,127,1392
0,DEL,128,1536
0,DEL,129,1604
0,DEL,130,1589
0,DEL,131,1649
0,DEL,132,1671
0,DEL,133,1753
0,DEL,134,1793
0,DEL,135,1844
0,DEL,136,1953
0,DEL,137,2031
0,DEL,138,1954
0,DEL,139,2053
0,DEL,140,2137
0,DEL,141,2161
0,DEL,142,2094
0,DEL,143,2165
0,DEL,144,2190
0,DEL,145,2187
0,DEL,146,2165
0,DEL,147,2240
0,DEL,148,2204
0,DEL,149,2206
0,DEL,150,2276
0,DEL,151,2147
0,DEL,152,2191
0,DEL,153,2162
0,DEL,154,2160
0,DEL,155,2165
0,DEL,156,2110
0,DEL,157,2154
0,DEL,158,2135
0,DEL,159,2025
0,DEL,160,2013
0,DEL,161,2061
0,DEL,162,1984
0,DEL,163,2008
0,DEL,164,1966
0,DEL,165,1852
0,DEL,166,1878
0,DEL,167,1883
0,DEL,168,1795
0,DEL,169,1642
0,DEL,170,1795
0,DEL,171,1631
0,DEL,172,1568
0,DEL,173,1603
0,DEL,174,1513
0,DEL,175,1480
0,DEL,176,1439
0,DEL,177,1377
0,DEL,178,1381
0,DEL,179,1360
0,DEL,180,1325
0,DEL,181,1238
0,DEL,182,1188
0,DEL,183,1208
0,DEL,184,1207
0,DEL,185,1100
0,DEL,186,1082
0,DEL,187,1049
0,DEL,188,1057
0,DEL,189,1013
0,DEL,190,940
0,DEL,191,923
0,DEL,192,902
0,DEL,193,854
0,DEL,194,828
0,DEL,195,849
0,DEL,196,823
0,DEL,197,760
0,DEL,198,763
0,DEL,199,654
0,DEL,200,660
0,DEL,201,652
0,DEL,202,666
0,DEL,203,628
0,DEL,204,577
0,DEL,205,566
0,DEL,206,561
0,DEL,207,548
0,DEL,208,500
0,DEL,209,450
0,DEL,210,486
0,DEL,211,422
0,DEL,212,424
0,DEL,213,422
0,DEL,214,412
0,DEL,215,403
0,DEL,216,375
0,DEL,217,358
0,DEL,218,300
0,DEL,219,318
0,DEL,220,338
0,DEL,221,344
0,DEL,222,293
0,DEL,223,338
0,DEL,224,257
0,DEL,225,219
0,DEL,226,252
0,DEL,227,268
0,DEL,228,231
0,DEL,229,233
0,DEL,230,195
0,DEL,231,168
0,DEL,232,184
0,DEL,233,196
0,DEL,234,185
0,DEL,235,176
0,DEL,236,174
0,DEL,237,181
0,DEL,238,155
0,DEL,239,145
0,DEL,240,132
0,DEL,241,148
0,DEL,242,121
0,DEL,243,155
0,DEL,244,116
0,DEL,245,127
0,DEL,246,132
0,DEL,247,102
0,DEL,248,108
0,DEL,249,96
0,DEL,250,98
0,DEL,251,121
0,DEL,252,97
0,DEL,253,72
0,DEL,254,82
0,DEL,255,92
0,DEL,257,161
0,DEL,259,137
0,DEL,261,132
0,DEL,263,116
0,DEL,265,124
0,DEL,267,102
0,DEL,269,106
0,DEL,271,108
0,DEL,273,99
0,DEL,275,97
0,DEL,277,82
0,DEL,279,79
0,DEL,281,95
0,DEL,283,71
0,DEL,285,55
0,DEL,287,55
0,DEL,289,65
0,DEL,291,55
0,DEL,293,40
0,DEL,295,52
0,DEL,297,47
0,DEL,299,41
0,DEL,301,46
0,DEL,303,45
0,DEL,305,40
